"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-71.22702,43.60862,614.11,187.18
2,-71.22688,43.60863,612.89,186.81
3,-71.22645,43.60879,606.96,185.00
4,-71.22604,43.60884,604.49,184.25
5,-71.22573,43.60878,603.94,184.08
6,-71.22533,43.60880,603.94,184.08
7,-71.22505,43.60873,607.22,185.08
8,-71.22484,43.60862,606.79,184.95
9,-71.22455,43.60853,613.35,186.95
10,-71.22430,43.60843,619.16,188.72
11,-71.22418,43.60831,623.82,190.14
12,-71.22389,43.60810,632.61,192.82
13,-71.22348,43.60806,640.22,195.14
14,-71.22334,43.60803,644.26,196.37
15,-71.22320,43.60799,646.13,196.94
16,-71.22273,43.60752,650.66,198.32
17,-71.22257,43.60732,641.80,195.62
18,-71.22235,43.60722,637.34,194.26
19,-71.22204,43.60696,644.13,196.33
20,-71.22192,43.60671,641.14,195.42
21,-71.22190,43.60656,641.08,195.40
22,-71.22188,43.60629,641.31,195.47
23,-71.22169,43.60609,639.83,195.02
24,-71.22103,43.60563,621.95,189.57
25,-71.22089,43.60551,621.62,189.47
26,-71.22085,43.60535,618.04,188.38
27,-71.22084,43.60518,615.72,187.67
28,-71.22079,43.60506,613.94,187.13
29,-71.22071,43.60494,612.47,186.68
30,-71.22072,43.60479,607.84,185.27
31,-71.22077,43.60464,609.74,185.85
32,-71.22090,43.60454,604.82,184.35
33,-71.22111,43.60443,608.83,185.57
34,-71.22118,43.60437,611.02,186.24
35,-71.22120,43.60431,612.50,186.69
36,-71.22132,43.60420,620.54,189.14
