"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-73.01728,44.35308,903.58,275.41
2,-73.01764,44.35275,926.08,282.27
3,-73.01788,44.35260,936.98,285.59
4,-73.01828,44.35242,954.00,290.78
5,-73.01856,44.35227,964.47,293.97
6,-73.01886,44.35212,977.66,297.99
7,-73.01927,44.35203,989.60,301.63
8,-73.01957,44.35190,999.77,304.73
9,-73.01976,44.35177,1008.76,307.47
10,-73.01988,44.35168,1017.09,310.01
11,-73.02015,44.35155,1028.64,313.53
12,-73.02060,44.35137,1043.04,317.92
13,-73.02105,44.35111,1061.25,323.47
14,-73.02154,44.35082,1083.69,330.31
15,-73.02202,44.35067,1097.24,334.44
16,-73.02272,44.35032,1126.51,343.36
17,-73.02287,44.35011,1138.45,347.00
18,-73.02303,44.34987,1155.28,352.13
19,-73.02315,44.34959,1169.98,356.61
20,-73.02319,44.34940,1180.38,359.78
21,-73.02319,44.34922,1190.55,362.88
22,-73.02312,44.34891,1208.83,368.45
