"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-71.13186,44.10086,1407.41,428.98
2,-71.13184,44.10099,1393.31,424.68
3,-71.13177,44.10122,1364.24,415.82
4,-71.13172,44.10145,1329.36,405.19
5,-71.13169,44.10154,1317.68,401.63
6,-71.13176,44.10167,1300.10,396.27
7,-71.13184,44.10204,1251.51,381.46
8,-71.13202,44.10225,1228.35,374.40
9,-71.13218,44.10232,1219.06,371.57
10,-71.13232,44.10239,1210.56,368.98
11,-71.13247,44.10254,1193.93,363.91
12,-71.13262,44.10267,1177.62,358.94
13,-71.13276,44.10272,1164.04,354.80
14,-71.13291,44.10271,1156.50,352.50
15,-71.13321,44.10265,1139.83,347.42
16,-71.13344,44.10262,1128.48,343.96
17,-71.13361,44.10264,1111.02,338.64
18,-71.13374,44.10270,1096.29,334.15
19,-71.13441,44.10302,1034.94,315.45
20,-71.13459,44.10309,1021.52,311.36
21,-71.13489,44.10313,999.84,304.75
22,-71.13501,44.10314,993.24,302.74
23,-71.13518,44.10320,980.02,298.71
24,-71.13555,44.10339,949.44,289.39
