"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-72.90452,42.96371,2521.59,768.58
2,-72.90433,42.96382,2513.48,766.11
3,-72.90409,42.96392,2501.71,762.52
4,-72.90400,42.96398,2498.23,761.46
5,-72.90389,42.96412,2492.68,759.77
6,-72.90345,42.96462,2460.30,749.90
7,-72.90273,42.96504,2408.10,733.99
8,-72.90266,42.96508,2400.16,731.57
9,-72.90261,42.96514,2391.24,728.85
10,-72.90243,42.96534,2369.36,722.18
11,-72.90229,42.96553,2361.91,719.91
12,-72.90222,42.96571,2355.05,717.82
13,-72.90225,42.96594,2346.00,715.06
14,-72.90223,42.96615,2333.33,711.20
15,-72.90226,42.96658,2311.61,704.58
