"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-72.54916,43.66369,1129.92,344.40
2,-72.54907,43.66335,1162.40,354.30
3,-72.54896,43.66314,1185.66,361.39
4,-72.54885,43.66315,1186.38,361.61
5,-72.54870,43.66313,1187.43,361.93
6,-72.54862,43.66305,1198.23,365.22
7,-72.54856,43.66293,1209.35,368.61
8,-72.54860,43.66273,1234.88,376.39
9,-72.54869,43.66272,1244.75,379.40
10,-72.54857,43.66261,1250.66,381.20
11,-72.54850,43.66257,1253.08,381.94
12,-72.54850,43.66267,1239.57,377.82
13,-72.54849,43.66276,1226.57,373.86
14,-72.54844,43.66288,1209.48,368.65
15,-72.54843,43.66296,1200.92,366.04
16,-72.54849,43.66318,1180.48,359.81
17,-72.54858,43.66321,1177.99,359.05
18,-72.54869,43.66324,1176.41,358.57
19,-72.54874,43.66330,1172.38,357.34
20,-72.54885,43.66342,1159.42,353.39
21,-72.54896,43.66351,1149.25,350.29
22,-72.54916,43.66369,1129.92,344.40
