"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-72.81974,43.62616,3252.72,991.43
2,-72.81949,43.62634,3238.39,987.06
3,-72.81921,43.62637,3217.85,980.80
4,-72.81887,43.62637,3188.45,971.84
5,-72.81852,43.62633,3161.06,963.49
6,-72.81809,43.62629,3129.69,953.93
7,-72.81777,43.62634,3108.53,947.48
8,-72.81727,43.62645,3081.92,939.37
9,-72.81685,43.62664,3050.20,929.70
10,-72.81637,43.62687,3007.22,916.60
11,-72.81614,43.62707,2980.02,908.31
12,-72.81586,43.62722,2953.38,900.19
13,-72.81544,43.62737,2923.75,891.16
14,-72.81501,43.62746,2889.37,880.68
15,-72.81451,43.62749,2852.79,869.53
16,-72.81420,43.62747,2833.46,863.64
17,-72.81409,43.62745,2828.18,862.03
18,-72.81387,43.62741,2818.60,859.11
19,-72.81353,43.62732,2803.12,854.39
20,-72.81312,43.62725,2782.48,848.10
