"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-72.81964,43.62235,3240.42,987.68
2,-72.81954,43.62235,3233.20,985.48
3,-72.81925,43.62222,3202.59,976.15
4,-72.81900,43.62216,3176.05,968.06
5,-72.81877,43.62215,3155.71,961.86
6,-72.81850,43.62207,3128.35,953.52
7,-72.81823,43.62197,3095.64,943.55
8,-72.81795,43.62192,3072.21,936.41
9,-72.81775,43.62183,3049.18,929.39
10,-72.81747,43.62162,3018.57,920.06
11,-72.81722,43.62142,2997.18,913.54
12,-72.81705,43.62121,2983.69,909.43
13,-72.81696,43.62110,2981.17,908.66
14,-72.81685,43.62097,2978.28,907.78
15,-72.81676,43.62090,2972.21,905.93
16,-72.81660,43.62082,2966.54,904.20
17,-72.81646,43.62078,2962.34,902.92
18,-72.81632,43.62073,2958.86,901.86
19,-72.81610,43.62064,2949.80,899.10
20,-72.81595,43.62070,2935.04,894.60
21,-72.81560,43.62085,2899.21,883.68
22,-72.81524,43.62095,2865.09,873.28
23,-72.81502,43.62099,2846.98,867.76
