"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-72.81930,43.61724,3507.78,1069.17
2,-72.81917,43.61738,3487.34,1062.94
3,-72.81900,43.61752,3462.11,1055.25
4,-72.81883,43.61761,3443.14,1049.47
5,-72.81877,43.61773,3426.97,1044.54
6,-72.81881,43.61788,3412.40,1040.10
7,-72.81880,43.61806,3389.01,1032.97
8,-72.81861,43.61823,3364.11,1025.38
9,-72.81843,43.61839,3341.47,1018.48
10,-72.81834,43.61861,3322.28,1012.63
11,-72.81828,43.61886,3304.92,1007.34
12,-72.81833,43.61905,3291.96,1003.39
13,-72.81825,43.61917,3277.56,999.00
14,-72.81801,43.61928,3243.80,988.71
15,-72.81774,43.61940,3217.52,980.70
16,-72.81752,43.61963,3180.58,969.44
17,-72.81735,43.61992,3131.96,954.62
18,-72.81715,43.62011,3084.28,940.09
19,-72.81686,43.62024,3041.27,926.98
20,-72.81648,43.62037,2999.77,914.33
21,-72.81622,43.62050,2966.93,904.32
22,-72.81610,43.62064,2949.80,899.10
