"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-72.81960,43.61685,3536.61,1077.96
2,-72.81948,43.61700,3525.69,1074.63
3,-72.81931,43.61713,3517.78,1072.22
4,-72.81930,43.61724,3507.78,1069.17
5,-72.81941,43.61734,3500.07,1066.82
6,-72.81967,43.61738,3486.35,1062.64
7,-72.81983,43.61745,3470.67,1057.86
8,-72.81986,43.61758,3453.64,1052.67
9,-72.81976,43.61771,3444.36,1049.84
10,-72.81971,43.61784,3432.02,1046.08
11,-72.81969,43.61797,3418.96,1042.10
12,-72.81953,43.61805,3407.15,1038.50
13,-72.81942,43.61812,3398.26,1035.79
14,-72.81940,43.61820,3392.75,1034.11
15,-72.81951,43.61834,3387.07,1032.38
16,-72.81976,43.61851,3381.40,1030.65
17,-72.81999,43.61867,3369.95,1027.16
18,-72.82019,43.61892,3348.36,1020.58
19,-72.82017,43.61908,3343.86,1019.21
20,-72.82007,43.61932,3338.85,1017.68
21,-72.81994,43.61957,3333.20,1015.96
22,-72.81986,43.61975,3325.92,1013.74
23,-72.81988,43.61994,3320.74,1012.16
24,-72.82010,43.62019,3312.93,1009.78
25,-72.82028,43.62043,3304.79,1007.30
26,-72.82042,43.62069,3296.59,1004.80
27,-72.82042,43.62096,3289.80,1002.73
28,-72.82034,43.62122,3286.12,1001.61
29,-72.82031,43.62130,3282.58,1000.53
30,-72.82014,43.62163,3272.47,997.45
31,-72.81995,43.62196,3259.58,993.52
32,-72.81974,43.62221,3249.31,990.39
33,-72.81964,43.62235,3240.42,987.68
34,-72.81953,43.62253,3233.63,985.61
35,-72.81946,43.62283,3227.30,983.68
36,-72.81944,43.62317,3221.85,982.02
37,-72.81940,43.62332,3216.24,980.31
38,-72.81935,43.62349,3209.02,978.11
39,-72.81913,43.62379,3188.22,971.77
40,-72.81901,43.62393,3179.99,969.26
41,-72.81886,43.62411,3173.16,967.18
42,-72.81851,43.62438,3152.36,960.84
43,-72.81807,43.62458,3137.27,956.24
