"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-72.81957,43.61577,3554.63,1083.45
2,-72.81939,43.61574,3550.95,1082.33
3,-72.81919,43.61577,3544.85,1080.47
4,-72.81890,43.61584,3534.91,1077.44
5,-72.81862,43.61588,3526.77,1074.96
6,-72.81850,43.61583,3520.60,1073.08
7,-72.81847,43.61573,3516.57,1071.85
8,-72.81846,43.61559,3514.40,1071.19
9,-72.81837,43.61544,3509.97,1069.84
10,-72.81819,43.61523,3497.93,1066.17
11,-72.81817,43.61499,3488.52,1063.30
12,-72.81833,43.61476,3474.87,1059.14
13,-72.81839,43.61455,3463.98,1055.82
14,-72.81835,43.61433,3455.81,1053.33
15,-72.81827,43.61407,3445.67,1050.24
16,-72.81806,43.61365,3422.80,1043.27
17,-72.81794,43.61341,3405.45,1037.98
18,-72.81792,43.61322,3400.23,1036.39
19,-72.81790,43.61280,3391.37,1033.69
20,-72.81784,43.61231,3393.44,1034.32
