"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-72.81257,43.60980,3323.33,1012.95
2,-72.81213,43.61013,3261.12,993.99
3,-72.81153,43.61060,3176.44,968.18
4,-72.81100,43.61109,3086.45,940.75
5,-72.81034,43.61155,2972.18,905.92
6,-72.80993,43.61181,2917.59,889.28
7,-72.80951,43.61212,2881.53,878.29
8,-72.80933,43.61228,2870.01,874.78
9,-72.80911,43.61247,2844.95,867.14
10,-72.80859,43.61292,2774.70,845.73
11,-72.80804,43.61334,2725.20,830.64
12,-72.80757,43.61371,2691.67,820.42
13,-72.80712,43.61404,2662.57,811.55
14,-72.80667,43.61445,2636.42,803.58
15,-72.80613,43.61490,2615.68,797.26
16,-72.80577,43.61516,2591.86,790.00
17,-72.80545,43.61527,2581.59,786.87
18,-72.80509,43.61536,2581.99,786.99
19,-72.80468,43.61555,2574.61,784.74
20,-72.80455,43.61560,2571.62,783.83
21,-72.80398,43.61588,2547.87,776.59
22,-72.80351,43.61618,2531.99,771.75
23,-72.80316,43.61658,2519.16,767.84
