"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-72.81992,43.60627,3973.72,1211.19
2,-72.81968,43.60624,3972.41,1210.79
3,-72.81940,43.60624,3968.14,1209.49
4,-72.81917,43.60627,3963.71,1208.14
5,-72.81891,43.60630,3959.68,1206.91
6,-72.81857,43.60631,3953.61,1205.06
7,-72.81818,43.60628,3941.93,1201.50
8,-72.81802,43.60625,3937.14,1200.04
9,-72.81779,43.60619,3936.19,1199.75
10,-72.81746,43.60616,3933.69,1198.99
11,-72.81707,43.60614,3925.00,1196.34
12,-72.81666,43.60610,3914.76,1193.22
13,-72.81631,43.60599,3913.75,1192.91
14,-72.81595,43.60596,3903.12,1189.67
15,-72.81548,43.60592,3891.67,1186.18
16,-72.81506,43.60583,3885.79,1184.39
17,-72.81471,43.60570,3877.43,1181.84
18,-72.81448,43.60552,3870.24,1179.65
19,-72.81431,43.60536,3862.37,1177.25
20,-72.81421,43.60527,3863.29,1177.53
