"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-72.80316,43.61658,2519.16,767.84
2,-72.80279,43.61665,2512.63,765.85
3,-72.80247,43.61677,2511.22,765.42
4,-72.80219,43.61691,2512.20,765.72
5,-72.80189,43.61708,2510.70,765.26
6,-72.80167,43.61723,2505.91,763.80
7,-72.80153,43.61740,2494.13,760.21
8,-72.80138,43.61763,2488.98,758.64
9,-72.80120,43.61797,2480.35,756.01
10,-72.80103,43.61837,2468.83,752.50
11,-72.80090,43.61865,2458.40,749.32
12,-72.80087,43.61870,2457.12,748.93
13,-72.80069,43.61901,2445.34,745.34
14,-72.80056,43.61927,2432.94,741.56
15,-72.80038,43.61963,2418.70,737.22
16,-72.80024,43.61992,2409.88,734.53
17,-72.80010,43.62021,2399.38,731.33
18,-72.79994,43.62058,2385.40,727.07
19,-72.79978,43.62093,2367.98,721.76
20,-72.79962,43.62128,2357.87,718.68
21,-72.79950,43.62165,2344.85,714.71
22,-72.79940,43.62207,2329.43,710.01
23,-72.79933,43.62244,2314.63,705.50
24,-72.79926,43.62273,2303.38,702.07
25,-72.79921,43.62290,2296.92,700.10
26,-72.79911,43.62300,2294.06,699.23
27,-72.79894,43.62320,2289.21,697.75
28,-72.79868,43.62347,2278.58,694.51
29,-72.79850,43.62372,2264.40,690.19
30,-72.79824,43.62405,2255.58,687.50
31,-72.79799,43.62446,2245.96,684.57
