"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-72.79588,43.61828,2594.95,790.94
2,-72.79568,43.61835,2591.77,789.97
3,-72.79539,43.61842,2582.61,787.18
4,-72.79511,43.61847,2567.26,782.50
5,-72.79487,43.61845,2558.01,779.68
6,-72.79452,43.61832,2556.66,779.27
7,-72.79413,43.61816,2558.01,779.68
8,-72.79388,43.61799,2560.93,780.57
9,-72.79373,43.61779,2560.17,780.34
10,-72.79354,43.61748,2562.40,781.02
11,-72.79339,43.61730,2558.43,779.81
12,-72.79321,43.61719,2551.77,777.78
13,-72.79297,43.61712,2546.00,776.02
14,-72.79266,43.61703,2541.90,774.77
15,-72.79248,43.61697,2539.90,774.16
16,-72.79200,43.61682,2526.21,769.99
17,-72.79157,43.61671,2511.25,765.43
18,-72.79125,43.61660,2502.07,762.63
19,-72.79105,43.61641,2487.47,758.18
20,-72.79094,43.61620,2468.41,752.37
21,-72.79068,43.61592,2440.45,743.85
22,-72.79063,43.61589,2437.01,742.80
23,-72.79034,43.61569,2426.77,739.68
24,-72.79001,43.61546,2418.11,737.04
25,-72.78978,43.61526,2417.26,736.78
26,-72.78974,43.61523,2417.19,736.76
27,-72.78960,43.61514,2415.19,736.15
28,-72.78931,43.61504,2403.15,732.48
29,-72.78898,43.61496,2398.62,731.10
30,-72.78861,43.61489,2394.23,729.76
31,-72.78833,43.61488,2389.40,728.29
32,-72.78811,43.61492,2384.97,726.94
33,-72.78790,43.61495,2379.23,725.19
34,-72.78758,43.61505,2367.13,721.50
35,-72.78727,43.61515,2360.24,719.40
36,-72.78699,43.61529,2355.48,717.95
37,-72.78663,43.61550,2351.67,716.79
