"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-72.78319,43.62559,2322.21,707.81
2,-72.78339,43.62558,2315.58,705.79
3,-72.78360,43.62550,2301.80,701.59
4,-72.78375,43.62542,2287.40,697.20
5,-72.78388,43.62533,2279.79,694.88
6,-72.78398,43.62523,2273.00,692.81
7,-72.78411,43.62519,2265.32,690.47
8,-72.78430,43.62522,2256.99,687.93
9,-72.78443,43.62534,2248.33,685.29
10,-72.78453,43.62548,2240.75,682.98
11,-72.78450,43.62562,2235.14,681.27
12,-72.78448,43.62579,2228.48,679.24
13,-72.78452,43.62592,2218.37,676.16
14,-72.78462,43.62598,2209.51,673.46
15,-72.78477,43.62597,2199.61,670.44
16,-72.78487,43.62590,2193.27,668.51
17,-72.78495,43.62578,2186.02,666.30
18,-72.78495,43.62565,2182.64,665.27
19,-72.78499,43.62560,2182.55,665.24
20,-72.78513,43.62556,2173.79,662.57
