"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-72.79748,43.61762,2608.14,794.96
2,-72.79750,43.61784,2597.21,791.63
3,-72.79748,43.61808,2581.14,786.73
4,-72.79743,43.61843,2564.57,781.68
5,-72.79735,43.61880,2547.64,776.52
6,-72.79723,43.61922,2522.41,768.83
7,-72.79715,43.61953,2503.02,762.92
8,-72.79714,43.61975,2492.62,759.75
9,-72.79713,43.62015,2466.80,751.88
10,-72.79720,43.62035,2453.71,747.89
11,-72.79732,43.62054,2441.08,744.04
12,-72.79752,43.62070,2432.45,741.41
13,-72.79760,43.62083,2423.69,738.74
14,-72.79767,43.62112,2407.19,733.71
15,-72.79765,43.62123,2403.02,732.44
16,-72.79758,43.62150,2384.74,726.87
17,-72.79750,43.62179,2374.44,723.73
18,-72.79750,43.62213,2366.34,721.26
19,-72.79753,43.62246,2343.50,714.30
20,-72.79761,43.62274,2328.22,709.64
21,-72.79775,43.62308,2302.85,701.91
22,-72.79792,43.62345,2277.53,694.19
23,-72.79800,43.62374,2265.75,690.60
24,-72.79802,43.62402,2257.68,688.14
25,-72.79800,43.62437,2248.16,685.24
26,-72.79799,43.62446,2245.96,684.57
27,-72.79799,43.62486,2231.79,680.25
28,-72.79794,43.62514,2221.03,676.97
