"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-72.79565,43.61547,2742.29,835.85
2,-72.79589,43.61562,2732.64,832.91
3,-72.79619,43.61577,2725.95,830.87
4,-72.79626,43.61585,2723.13,830.01
5,-72.79632,43.61602,2721.19,829.42
6,-72.79640,43.61628,2710.99,826.31
7,-72.79652,43.61656,2688.52,819.46
8,-72.79663,43.61679,2676.80,815.89
9,-72.79682,43.61701,2658.53,810.32
10,-72.79692,43.61711,2650.26,807.80
11,-72.79698,43.61717,2645.31,806.29
12,-72.79710,43.61727,2639.37,804.48
13,-72.79718,43.61733,2631.56,802.10
14,-72.79733,43.61740,2622.64,799.38
15,-72.79749,43.61743,2616.96,797.65
16,-72.79769,43.61739,2611.88,796.10
17,-72.79797,43.61731,2605.91,794.28
18,-72.79831,43.61721,2598.20,791.93
19,-72.79865,43.61710,2593.11,790.38
20,-72.79894,43.61703,2590.45,789.57
21,-72.79924,43.61699,2582.32,787.09
22,-72.79952,43.61696,2574.90,784.83
23,-72.79983,43.61691,2564.83,781.76
24,-72.80014,43.61685,2560.33,780.39
25,-72.80050,43.61675,2552.72,778.07
26,-72.80091,43.61667,2543.73,775.33
27,-72.80107,43.61662,2541.60,774.68
28,-72.80132,43.61655,2537.89,773.55
29,-72.80171,43.61646,2530.94,771.43
30,-72.80213,43.61644,2527.33,770.33
31,-72.80263,43.61646,2523.75,769.24
32,-72.80316,43.61658,2519.16,767.84
