"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-72.81695,43.60506,4011.91,1222.83
2,-72.81674,43.60512,4003.81,1220.36
3,-72.81654,43.60516,4001.15,1219.55
4,-72.81632,43.60515,3991.90,1216.73
5,-72.81621,43.60509,3985.60,1214.81
6,-72.81619,43.60497,3980.68,1213.31
7,-72.81621,43.60482,3973.85,1211.23
8,-72.81626,43.60466,3966.86,1209.10
9,-72.81636,43.60453,3961.58,1207.49
10,-72.81640,43.60446,3958.73,1206.62
11,-72.81632,43.60441,3949.90,1203.93
12,-72.81617,43.60440,3939.34,1200.71
13,-72.81597,43.60443,3929.92,1197.84
14,-72.81571,43.60452,3920.64,1195.01
15,-72.81539,43.60464,3905.58,1190.42
16,-72.81504,43.60481,3891.40,1186.10
17,-72.81474,43.60497,3880.05,1182.64
18,-72.81450,43.60511,3867.29,1178.75
19,-72.81436,43.60525,3865.22,1178.12
20,-72.81416,43.60530,3860.73,1176.75
21,-72.81392,43.60531,3850.82,1173.73
22,-72.81350,43.60534,3836.81,1169.46
23,-72.81308,43.60537,3823.46,1165.39
24,-72.81256,43.60535,3803.08,1159.18
25,-72.81225,43.60537,3794.69,1156.62
26,-72.81192,43.60541,3785.43,1153.80
27,-72.81150,43.60549,3774.15,1150.36
28,-72.81111,43.60559,3760.17,1146.10
29,-72.81073,43.60571,3748.95,1142.68
30,-72.81039,43.60578,3738.52,1139.50
31,-72.81027,43.60581,3734.94,1138.41
32,-72.81011,43.60585,3731.50,1137.36
33,-72.80996,43.60586,3729.33,1136.70
34,-72.80983,43.60585,3729.46,1136.74
35,-72.80953,43.60575,3727.76,1136.22
36,-72.80916,43.60564,3719.75,1133.78
37,-72.80879,43.60551,3706.73,1129.81
38,-72.80852,43.60541,3693.11,1125.66
39,-72.80835,43.60538,3689.04,1124.42
40,-72.80808,43.60540,3684.06,1122.90
41,-72.80766,43.60546,3671.78,1119.16
42,-72.80728,43.60549,3660.07,1115.59
43,-72.80692,43.60548,3654.23,1113.81
44,-72.80650,43.60545,3642.62,1110.27
45,-72.80617,43.60544,3634.25,1107.72
46,-72.80584,43.60547,3621.33,1103.78
47,-72.80536,43.60558,3603.05,1098.21
48,-72.80513,43.60561,3595.77,1095.99
49,-72.80487,43.60564,3584.97,1092.70
50,-72.80468,43.60564,3579.27,1090.96
51,-72.80450,43.60558,3568.50,1087.68
52,-72.80433,43.60543,3547.38,1081.24
53,-72.80430,43.60540,3543.67,1080.11
54,-72.80418,43.60527,3530.64,1076.14
55,-72.80400,43.60509,3515.75,1071.60
56,-72.80388,43.60500,3509.06,1069.56
57,-72.80376,43.60496,3503.77,1067.95
58,-72.80369,43.60494,3501.15,1067.15
59,-72.80345,43.60492,3491.96,1064.35
60,-72.80322,43.60488,3485.73,1062.45
61,-72.80291,43.60482,3475.62,1059.37
62,-72.80265,43.60478,3455.02,1053.09
63,-72.80242,43.60477,3438.29,1047.99
64,-72.80218,43.60480,3429.76,1045.39
65,-72.80185,43.60484,3418.31,1041.90
66,-72.80152,43.60486,3404.82,1037.79
67,-72.80125,43.60487,3391.40,1033.70
68,-72.80087,43.60484,3369.98,1027.17
69,-72.80058,43.60477,3352.49,1021.84
70,-72.80031,43.60475,3341.40,1018.46
71,-72.79995,43.60472,3329.30,1014.77
72,-72.79967,43.60468,3320.44,1012.07
73,-72.79955,43.60467,3317.68,1011.23
74,-72.79942,43.60465,3315.68,1010.62
75,-72.79923,43.60464,3312.96,1009.79
76,-72.79896,43.60458,3309.28,1008.67
77,-72.79869,43.60446,3301.80,1006.39
78,-72.79846,43.60436,3295.67,1004.52
79,-72.79834,43.60431,3291.99,1003.40
80,-72.79809,43.60423,3285.66,1001.47
81,-72.79779,43.60418,3278.67,999.34
