"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-72.81332,43.60504,3828.67,1166.98
2,-72.81331,43.60492,3825.56,1166.03
3,-72.81329,43.60483,3819.85,1164.29
4,-72.81332,43.60470,3815.62,1163.00
5,-72.81332,43.60454,3812.43,1162.03
6,-72.81335,43.60439,3807.64,1160.57
7,-72.81341,43.60425,3804.86,1159.72
8,-72.81353,43.60409,3801.41,1158.67
9,-72.81365,43.60394,3798.56,1157.80
10,-72.81374,43.60378,3798.00,1157.63
11,-72.81380,43.60365,3792.78,1156.04
12,-72.81395,43.60353,3788.68,1154.79
13,-72.81418,43.60337,3781.50,1152.60
14,-72.81443,43.60323,3773.59,1150.19
15,-72.81465,43.60310,3769.55,1148.96
16,-72.81474,43.60301,3765.85,1147.83
17,-72.81476,43.60296,3762.37,1146.77
18,-72.81472,43.60292,3757.87,1145.40
19,-72.81466,43.60288,3754.66,1144.42
20,-72.81451,43.60287,3750.16,1143.05
21,-72.81425,43.60288,3745.18,1141.53
22,-72.81401,43.60289,3743.08,1140.89
23,-72.81385,43.60290,3741.14,1140.30
24,-72.81367,43.60293,3735.79,1138.67
25,-72.81357,43.60296,3733.20,1137.88
26,-72.81335,43.60313,3726.18,1135.74
27,-72.81321,43.60325,3725.16,1135.43
28,-72.81312,43.60330,3725.00,1135.38
29,-72.81298,43.60332,3722.31,1134.56
30,-72.81280,43.60332,3720.31,1133.95
31,-72.81256,43.60332,3714.99,1132.33
32,-72.81243,43.60332,3711.84,1131.37
33,-72.81232,43.60335,3710.83,1131.06
34,-72.81208,43.60346,3706.14,1129.63
35,-72.81196,43.60351,3703.08,1128.70
36,-72.81182,43.60354,3701.31,1128.16
37,-72.81156,43.60354,3698.39,1127.27
38,-72.81133,43.60351,3693.11,1125.66
39,-72.81121,43.60348,3689.99,1124.71
40,-72.81118,43.60344,3688.35,1124.21
41,-72.81119,43.60339,3686.19,1123.55
42,-72.81122,43.60331,3681.69,1122.18
43,-72.81136,43.60314,3677.03,1120.76
44,-72.81149,43.60298,3673.95,1119.82
45,-72.81161,43.60284,3669.52,1118.47
46,-72.81175,43.60265,3663.58,1116.66
47,-72.81192,43.60249,3660.70,1115.78
48,-72.81212,43.60236,3658.50,1115.11
49,-72.81232,43.60222,3655.05,1114.06
50,-72.81248,43.60210,3652.95,1113.42
51,-72.81264,43.60194,3648.95,1112.20
52,-72.81281,43.60173,3640.58,1109.65
53,-72.81308,43.60147,3635.37,1108.06
54,-72.81324,43.60130,3627.79,1105.75
55,-72.81346,43.60108,3615.22,1101.92
56,-72.81359,43.60093,3608.60,1099.90
57,-72.81371,43.60078,3604.10,1098.53
58,-72.81386,43.60065,3604.23,1098.57
59,-72.81401,43.60052,3602.10,1097.92
60,-72.81409,43.60041,3596.16,1096.11
61,-72.81410,43.60032,3592.36,1094.95
62,-72.81408,43.60021,3591.37,1094.65
63,-72.81404,43.60009,3589.53,1094.09
64,-72.81398,43.59996,3584.71,1092.62
65,-72.81389,43.59986,3578.81,1090.82
66,-72.81373,43.59973,3574.97,1089.65
67,-72.81355,43.59959,3570.21,1088.20
68,-72.81335,43.59946,3566.17,1086.97
69,-72.81325,43.59934,3559.19,1084.84
70,-72.81320,43.59921,3555.77,1083.80
71,-72.81314,43.59908,3552.56,1082.82
72,-72.81303,43.59897,3549.74,1081.96
73,-72.81289,43.59883,3544.36,1080.32
74,-72.81275,43.59869,3539.96,1078.98
75,-72.81264,43.59854,3536.75,1078.00
76,-72.81250,43.59840,3530.45,1076.08
77,-72.81234,43.59826,3525.62,1074.61
78,-72.81224,43.59816,3524.25,1074.19
79,-72.81210,43.59807,3519.69,1072.80
80,-72.81191,43.59793,3515.42,1071.50
81,-72.81179,43.59777,3512.24,1070.53
82,-72.81166,43.59762,3509.35,1069.65
83,-72.81143,43.59745,3499.74,1066.72
84,-72.81116,43.59728,3492.91,1064.64
85,-72.81085,43.59708,3486.71,1062.75
86,-72.81063,43.59694,3482.02,1061.32
87,-72.81045,43.59683,3478.67,1060.30
88,-72.81020,43.59670,3472.61,1058.45
89,-72.80994,43.59654,3466.14,1056.48
90,-72.80971,43.59635,3457.64,1053.89
91,-72.80952,43.59615,3453.18,1052.53
92,-72.80945,43.59607,3450.33,1051.66
93,-72.80939,43.59600,3448.59,1051.13
94,-72.80936,43.59589,3446.23,1050.41
95,-72.80936,43.59578,3442.75,1049.35
96,-72.80933,43.59570,3439.70,1048.42
97,-72.80930,43.59567,3437.24,1047.67
98,-72.80923,43.59566,3432.97,1046.37
99,-72.80918,43.59568,3430.18,1045.52
100,-72.80915,43.59573,3427.82,1044.80
101,-72.80906,43.59597,3422.15,1043.07
102,-72.80898,43.59623,3414.27,1040.67
103,-72.80894,43.59630,3411.19,1039.73
104,-72.80890,43.59633,3408.07,1038.78
105,-72.80886,43.59634,3406.30,1038.24
106,-72.80884,43.59632,3404.86,1037.80
107,-72.80880,43.59627,3402.03,1036.94
108,-72.80876,43.59614,3397.87,1035.67
109,-72.80867,43.59595,3392.52,1034.04
110,-72.80860,43.59580,3388.71,1032.88
111,-72.80849,43.59562,3383.24,1031.21
112,-72.80844,43.59559,3379.23,1029.99
113,-72.80839,43.59557,3376.18,1029.06
114,-72.80833,43.59559,3374.61,1028.58
115,-72.80830,43.59562,3373.23,1028.16
116,-72.80827,43.59570,3369.85,1027.13
117,-72.80810,43.59604,3359.48,1023.97
118,-72.80799,43.59640,3351.05,1021.40
119,-72.80788,43.59659,3344.36,1019.36
120,-72.80772,43.59677,3339.01,1017.73
121,-72.80748,43.59695,3334.81,1016.45
122,-72.80728,43.59706,3330.45,1015.12
123,-72.80704,43.59718,3328.31,1014.47
124,-72.80674,43.59735,3325.16,1013.51
125,-72.80644,43.59746,3323.95,1013.14
126,-72.80621,43.59749,3320.01,1011.94
127,-72.80614,43.59749,3317.88,1011.29
128,-72.80602,43.59748,3313.42,1009.93
129,-72.80583,43.59740,3308.92,1008.56
130,-72.80568,43.59729,3305.84,1007.62
131,-72.80557,43.59720,3303.02,1006.76
132,-72.80545,43.59717,3300.62,1006.03
133,-72.80534,43.59717,3298.59,1005.41
134,-72.80522,43.59720,3297.80,1005.17
135,-72.80517,43.59720,3296.19,1004.68
136,-72.80511,43.59719,3293.50,1003.86
137,-72.80507,43.59716,3292.09,1003.43
138,-72.80505,43.59712,3290.68,1003.00
139,-72.80505,43.59704,3289.60,1002.67
140,-72.80502,43.59697,3287.99,1002.18
141,-72.80495,43.59690,3285.79,1001.51
142,-72.80474,43.59675,3278.12,999.17
143,-72.80459,43.59662,3273.69,997.82
144,-72.80455,43.59655,3272.41,997.43
145,-72.80455,43.59648,3269.95,996.68
146,-72.80459,43.59644,3266.86,995.74
147,-72.80471,43.59635,3261.84,994.21
148,-72.80489,43.59627,3257.81,992.98
149,-72.80506,43.59625,3253.97,991.81
150,-72.80525,43.59623,3249.61,990.48
151,-72.80535,43.59619,3248.56,990.16
152,-72.80543,43.59615,3246.78,989.62
153,-72.80551,43.59609,3243.34,988.57
154,-72.80556,43.59602,3241.24,987.93
155,-72.80561,43.59590,3236.09,986.36
156,-72.80563,43.59572,3230.15,984.55
157,-72.80567,43.59557,3225.82,983.23
158,-72.80571,43.59539,3218.77,981.08
159,-72.80575,43.59520,3212.89,979.29
160,-72.80577,43.59502,3211.68,978.92
161,-72.80580,43.59489,3210.53,978.57
162,-72.80576,43.59484,3204.89,976.85
163,-72.80570,43.59480,3198.65,974.95
164,-72.80563,43.59482,3194.85,973.79
165,-72.80556,43.59484,3192.68,973.13
166,-72.80543,43.59495,3185.76,971.02
167,-72.80530,43.59502,3183.86,970.44
168,-72.80510,43.59509,3181.46,969.71
169,-72.80496,43.59515,3179.56,969.13
170,-72.80482,43.59521,3176.51,968.20
171,-72.80474,43.59523,3174.87,967.70
172,-72.80466,43.59523,3174.80,967.68
173,-72.80459,43.59521,3173.56,967.30
174,-72.80441,43.59510,3168.11,965.64
175,-72.80424,43.59504,3164.17,964.44
176,-72.80391,43.59496,3155.28,961.73
177,-72.80359,43.59488,3148.13,959.55
178,-72.80333,43.59477,3142.36,957.79
179,-72.80304,43.59464,3137.80,956.40
180,-72.80271,43.59448,3130.02,954.03
181,-72.80247,43.59431,3124.74,952.42
182,-72.80224,43.59414,3119.03,950.68
183,-72.80204,43.59399,3112.80,948.78
184,-72.80191,43.59392,3110.01,947.93
185,-72.80172,43.59385,3106.07,946.73
186,-72.80142,43.59377,3100.10,944.91
187,-72.80104,43.59370,3093.83,943.00
188,-72.80072,43.59366,3090.26,941.91
189,-72.80028,43.59358,3080.41,938.91
190,-72.79987,43.59351,3068.93,935.41
191,-72.79950,43.59342,3058.53,932.24
192,-72.79918,43.59339,3052.69,930.46
193,-72.79881,43.59335,3045.31,928.21
194,-72.79858,43.59331,3037.17,925.73
195,-72.79847,43.59327,3032.78,924.39
196,-72.79843,43.59320,3031.30,923.94
197,-72.79844,43.59311,3029.04,923.25
198,-72.79840,43.59302,3026.25,922.40
199,-72.79832,43.59297,3023.69,921.62
200,-72.79805,43.59287,3018.86,920.15
201,-72.79780,43.59283,3011.55,917.92
202,-72.79762,43.59279,3008.24,916.91
203,-72.79749,43.59276,3001.87,914.97
204,-72.79742,43.59272,2997.05,913.50
205,-72.79740,43.59267,2993.01,912.27
206,-72.79741,43.59262,2988.75,910.97
207,-72.79748,43.59256,2983.79,909.46
208,-72.79771,43.59246,2976.67,907.29
209,-72.79805,43.59237,2972.74,906.09
210,-72.79836,43.59230,2967.26,904.42
211,-72.79851,43.59227,2964.47,903.57
212,-72.79863,43.59227,2962.83,903.07
213,-72.79881,43.59229,2957.32,901.39
214,-72.79886,43.59227,2955.02,900.69
215,-72.79889,43.59224,2953.25,900.15
216,-72.79890,43.59219,2950.33,899.26
217,-72.79886,43.59215,2948.49,898.70
218,-72.79868,43.59203,2941.80,896.66
219,-72.79855,43.59196,2939.63,896.00
220,-72.79840,43.59192,2936.06,894.91
221,-72.79809,43.59184,2930.35,893.17
222,-72.79777,43.59179,2923.98,891.23
223,-72.79738,43.59173,2918.37,889.52
224,-72.79703,43.59170,2910.86,887.23
225,-72.79684,43.59170,2907.22,886.12
226,-72.79664,43.59173,2902.40,884.65
227,-72.79630,43.59182,2893.67,881.99
228,-72.79593,43.59193,2885.93,879.63
229,-72.79578,43.59201,2883.76,878.97
230,-72.79566,43.59213,2879.72,877.74
231,-72.79551,43.59237,2874.31,876.09
232,-72.79532,43.59258,2869.00,874.47
233,-72.79518,43.59269,2865.85,873.51
234,-72.79512,43.59272,2864.24,873.02
235,-72.79504,43.59273,2862.27,872.42
236,-72.79498,43.59272,2860.30,871.82
237,-72.79494,43.59269,2857.51,870.97
238,-72.79491,43.59259,2855.09,870.23
239,-72.79488,43.59255,2851.57,869.16
240,-72.79483,43.59251,2849.21,868.44
241,-72.79477,43.59251,2846.13,867.50
242,-72.79470,43.59253,2842.78,866.48
243,-72.79465,43.59261,2838.48,865.17
244,-72.79463,43.59274,2835.33,864.21
245,-72.79461,43.59294,2829.86,862.54
246,-72.79459,43.59300,2827.30,861.76
247,-72.79456,43.59303,2825.98,861.36
248,-72.79451,43.59304,2824.38,860.87
249,-72.79446,43.59304,2823.00,860.45
250,-72.79438,43.59300,2820.87,859.80
251,-72.79431,43.59288,2819.03,859.24
252,-72.79427,43.59276,2814.11,857.74
253,-72.79427,43.59260,2809.61,856.37
254,-72.79428,43.59244,2802.23,854.12
255,-72.79423,43.59240,2799.15,853.18
256,-72.79415,43.59237,2793.70,851.52
257,-72.79403,43.59240,2787.99,849.78
258,-72.79375,43.59249,2782.22,848.02
259,-72.79350,43.59257,2780.71,847.56
260,-72.79342,43.59261,2781.46,847.79
261,-72.79335,43.59266,2779.86,847.30
262,-72.79330,43.59272,2777.56,846.60
263,-72.79330,43.59279,2774.93,845.80
264,-72.79336,43.59293,2771.00,844.60
265,-72.79354,43.59313,2763.75,842.39
266,-72.79370,43.59335,2761.19,841.61
267,-72.79376,43.59356,2756.63,840.22
268,-72.79376,43.59382,2750.75,838.43
269,-72.79365,43.59401,2744.98,836.67
270,-72.79348,43.59417,2738.65,834.74
271,-72.79325,43.59431,2734.19,833.38
272,-72.79306,43.59443,2733.27,833.10
273,-72.79294,43.59454,2731.10,832.44
274,-72.79294,43.59465,2730.28,832.19
275,-72.79301,43.59480,2725.85,830.84
276,-72.79314,43.59497,2716.47,827.98
277,-72.79319,43.59511,2712.53,826.78
278,-72.79317,43.59520,2709.74,825.93
279,-72.79311,43.59525,2708.63,825.59
280,-72.79305,43.59526,2707.09,825.12
281,-72.79299,43.59525,2705.48,824.63
282,-72.79279,43.59510,2696.78,821.98
283,-72.79261,43.59499,2688.98,819.60
284,-72.79233,43.59488,2684.25,818.16
285,-72.79211,43.59480,2679.30,816.65
286,-72.79200,43.59477,2675.16,815.39
287,-72.79195,43.59477,2672.08,814.45
288,-72.79190,43.59480,2669.36,813.62
289,-72.79187,43.59484,2667.82,813.15
290,-72.79189,43.59491,2665.94,812.58
291,-72.79202,43.59508,2663.71,811.90
292,-72.79228,43.59534,2660.30,810.86
293,-72.79236,43.59555,2653.12,808.67
294,-72.79239,43.59561,2651.90,808.30
295,-72.79240,43.59569,2648.62,807.30
296,-72.79238,43.59573,2646.52,806.66
