"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-72.79923,43.60464,3312.96,1009.79
2,-72.79934,43.60448,3304.92,1007.34
3,-72.79955,43.60431,3282.15,1000.40
4,-72.79979,43.60414,3261.68,994.16
5,-72.80000,43.60396,3238.94,987.23
6,-72.80020,43.60375,3226.64,983.48
7,-72.80030,43.60362,3217.29,980.63
8,-72.80032,43.60339,3194.59,973.71
9,-72.80054,43.60318,3182.51,970.03
10,-72.80078,43.60299,3173.49,967.28
11,-72.80089,43.60286,3166.80,965.24
12,-72.80093,43.60269,3155.54,961.81
13,-72.80085,43.60246,3136.09,955.88
14,-72.80082,43.60223,3110.73,948.15
15,-72.80088,43.60192,3078.90,938.45
16,-72.80093,43.60169,3056.23,931.54
17,-72.80101,43.60134,3037.96,925.97
