"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-72.80763,43.60731,3662.66,1116.38
2,-72.80778,43.60742,3646.23,1111.37
3,-72.80804,43.60763,3608.17,1099.77
4,-72.80836,43.60790,3568.93,1087.81
5,-72.80868,43.60820,3522.18,1073.56
6,-72.80900,43.60859,3471.46,1058.10
7,-72.80936,43.60904,3407.87,1038.72
8,-72.80971,43.60951,3330.91,1015.26
9,-72.80992,43.60999,3241.17,987.91
10,-72.81011,43.61050,3158.24,962.63
11,-72.81022,43.61091,3086.45,940.75
12,-72.81031,43.61132,3011.48,917.90
13,-72.81034,43.61155,2972.18,905.92
