"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-72.79769,43.61444,2877.59,877.09
2,-72.79757,43.61452,2861.35,872.14
3,-72.79740,43.61466,2843.08,866.57
4,-72.79727,43.61486,2821.65,860.04
5,-72.79718,43.61514,2791.14,850.74
6,-72.79712,43.61543,2758.86,840.90
7,-72.79709,43.61571,2728.35,831.60
8,-72.79702,43.61603,2711.02,826.32
9,-72.79698,43.61615,2709.55,825.87
10,-72.79693,43.61630,2707.64,825.29
11,-72.79681,43.61645,2696.56,821.91
12,-72.79681,43.61655,2691.01,820.22
13,-72.79689,43.61664,2684.78,818.32
14,-72.79713,43.61668,2679.49,816.71
15,-72.79741,43.61663,2669.29,813.60
16,-72.79770,43.61657,2658.43,810.29
17,-72.79801,43.61650,2653.54,808.80
18,-72.79831,43.61645,2645.51,806.35
19,-72.79869,43.61641,2632.45,802.37
20,-72.79884,43.61645,2625.10,800.13
21,-72.79892,43.61654,2616.73,797.58
22,-72.79888,43.61670,2609.35,795.33
23,-72.79874,43.61683,2604.10,793.73
24,-72.79866,43.61696,2596.82,791.51
25,-72.79865,43.61710,2593.11,790.38
