"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-72.80316,43.60775,3711.38,1131.23
2,-72.80317,43.60759,3705.45,1129.42
3,-72.80314,43.60745,3688.68,1124.31
4,-72.80306,43.60731,3669.75,1118.54
5,-72.80304,43.60729,3665.98,1117.39
6,-72.80296,43.60721,3656.79,1114.59
7,-72.80275,43.60706,3645.60,1111.18
8,-72.80247,43.60687,3623.20,1104.35
9,-72.80224,43.60668,3593.93,1095.43
10,-72.80202,43.60649,3562.30,1085.79
11,-72.80169,43.60625,3533.60,1077.04
12,-72.80134,43.60606,3521.85,1073.46
13,-72.80098,43.60588,3500.20,1066.86
14,-72.80082,43.60579,3488.58,1063.32
15,-72.80069,43.60572,3478.18,1060.15
16,-72.80041,43.60554,3449.64,1051.45
17,-72.80012,43.60529,3405.12,1037.88
18,-72.79982,43.60506,3368.83,1026.82
19,-72.79961,43.60485,3337.60,1017.30
20,-72.79942,43.60465,3315.68,1010.62
