"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-72.79779,43.60418,3278.67,999.34
2,-72.79781,43.60405,3273.59,997.79
3,-72.79780,43.60391,3263.16,994.61
4,-72.79787,43.60375,3253.71,991.73
5,-72.79788,43.60360,3245.44,989.21
6,-72.79779,43.60346,3236.98,986.63
7,-72.79762,43.60326,3226.94,983.57
8,-72.79751,43.60309,3214.34,979.73
9,-72.79750,43.60289,3194.03,973.54
10,-72.79763,43.60271,3174.67,967.64
11,-72.79785,43.60250,3153.71,961.25
12,-72.79803,43.60240,3140.09,957.10
13,-72.79811,43.60235,3133.76,955.17
14,-72.79843,43.60227,3116.63,949.95
15,-72.79873,43.60226,3100.98,945.18
16,-72.79914,43.60227,3082.12,939.43
17,-72.79947,43.60223,3071.52,936.20
18,-72.79973,43.60214,3062.73,933.52
19,-72.79999,43.60200,3055.35,931.27
20,-72.80023,43.60183,3044.98,928.11
21,-72.80036,43.60169,3038.55,926.15
22,-72.80035,43.60160,3035.14,925.11
23,-72.80028,43.60153,3030.22,923.61
24,-72.80008,43.60141,3023.26,921.49
25,-72.79984,43.60135,3016.99,919.58
26,-72.79949,43.60124,3006.96,916.52
27,-72.79924,43.60116,3001.38,914.82
28,-72.79893,43.60108,2989.40,911.17
29,-72.79882,43.60102,2982.22,908.98
30,-72.79877,43.60098,2978.71,907.91
31,-72.79881,43.60091,2969.09,904.98
32,-72.79898,43.60090,2962.43,902.95
33,-72.79925,43.60087,2949.77,899.09
34,-72.79948,43.60078,2945.96,897.93
35,-72.79958,43.60068,2943.90,897.30
36,-72.79967,43.60060,2943.18,897.08
37,-72.79985,43.60049,2940.52,896.27
38,-72.80003,43.60045,2939.21,895.87
39,-72.80022,43.60037,2934.09,894.31
40,-72.80038,43.60026,2923.65,891.13
41,-72.80044,43.60016,2915.91,888.77
42,-72.80041,43.60010,2913.32,887.98
43,-72.80032,43.60004,2910.89,887.24
44,-72.80010,43.59999,2905.32,885.54
45,-72.79977,43.59993,2896.72,882.92
46,-72.79939,43.59987,2891.44,881.31
47,-72.79903,43.59983,2885.47,879.49
48,-72.79866,43.59975,2879.49,877.67
49,-72.79833,43.59962,2874.08,876.02
50,-72.79796,43.59951,2867.59,874.04
51,-72.79765,43.59945,2863.94,872.93
52,-72.79746,43.59934,2861.32,872.13
53,-72.79718,43.59917,2857.12,870.85
54,-72.79699,43.59903,2853.81,869.84
55,-72.79675,43.59890,2842.59,866.42
56,-72.79645,43.59877,2825.75,861.29
57,-72.79617,43.59862,2815.29,858.10
58,-72.79602,43.59847,2808.14,855.92
59,-72.79584,43.59823,2795.87,852.18
60,-72.79567,43.59798,2784.15,848.61
61,-72.79542,43.59770,2769.06,844.01
62,-72.79519,43.59749,2756.14,840.07
63,-72.79488,43.59728,2743.44,836.20
64,-72.79449,43.59708,2724.25,830.35
65,-72.79402,43.59687,2701.15,823.31
66,-72.79363,43.59671,2683.14,817.82
67,-72.79318,43.59653,2667.32,813.00
68,-72.79276,43.59643,2640.19,804.73
69,-72.79232,43.59628,2616.14,797.40
70,-72.79184,43.59607,2595.34,791.06
71,-72.79142,43.59586,2582.84,787.25
72,-72.79112,43.59567,2573.98,784.55
73,-72.79081,43.59553,2564.60,781.69
74,-72.79046,43.59543,2550.79,777.48
75,-72.79022,43.59531,2541.73,774.72
76,-72.79007,43.59516,2540.19,774.25
77,-72.78981,43.59494,2533.23,772.13
78,-72.78953,43.59471,2526.74,770.15
79,-72.78936,43.59463,2520.64,768.29
80,-72.78913,43.59463,2514.47,766.41
81,-72.78890,43.59475,2506.14,763.87
82,-72.78870,43.59498,2495.14,760.52
83,-72.78851,43.59515,2488.09,758.37
84,-72.78833,43.59539,2471.62,753.35
85,-72.78817,43.59562,2453.15,747.72
86,-72.78802,43.59572,2446.26,745.62
87,-72.78774,43.59579,2434.19,741.94
88,-72.78745,43.59584,2425.23,739.21
89,-72.78719,43.59591,2412.24,735.25
90,-72.78689,43.59597,2402.33,732.23
91,-72.78673,43.59606,2392.68,729.29
92,-72.78655,43.59618,2381.36,725.84
93,-72.78639,43.59628,2371.33,722.78
94,-72.78638,43.59638,2364.21,720.61
95,-72.78649,43.59650,2352.49,717.04
96,-72.78669,43.59661,2340.06,713.25
97,-72.78675,43.59671,2331.23,710.56
98,-72.78668,43.59679,2324.51,708.51
99,-72.78646,43.59683,2316.08,705.94
100,-72.78622,43.59690,2305.51,702.72
101,-72.78598,43.59699,2298.33,700.53
102,-72.78588,43.59708,2289.50,697.84
103,-72.78587,43.59721,2277.56,694.20
104,-72.78601,43.59732,2268.21,691.35
105,-72.78622,43.59735,2261.29,689.24
106,-72.78636,43.59739,2257.51,688.09
107,-72.78629,43.59746,2251.61,686.29
108,-72.78611,43.59753,2242.03,683.37
109,-72.78587,43.59760,2228.97,679.39
110,-72.78577,43.59764,2224.11,677.91
111,-72.78571,43.59767,2221.75,677.19
112,-72.78567,43.59778,2217.42,675.87
113,-72.78573,43.59794,2206.17,672.44
114,-72.78572,43.59806,2213.25,674.60
115,-72.78554,43.59821,2212.11,674.25
116,-72.78529,43.59840,2206.99,672.69
117,-72.78513,43.59869,2199.21,670.32
118,-72.78505,43.59903,2187.17,666.65
119,-72.78494,43.59932,2178.15,663.90
120,-72.78492,43.59938,2176.31,663.34
121,-72.78480,43.59964,2171.59,661.90
122,-72.78477,43.59970,2171.03,661.73
123,-72.78460,43.59991,2158.46,657.90
124,-72.78442,43.60009,2145.64,653.99
125,-72.78435,43.60027,2140.52,652.43
126,-72.78432,43.60053,2130.54,649.39
127,-72.78435,43.60086,2116.17,645.01
128,-72.78437,43.60122,2108.73,642.74
129,-72.78426,43.60152,2097.54,639.33
130,-72.78409,43.60178,2086.71,636.03
131,-72.78394,43.60215,2084.84,635.46
