"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-72.76107,43.61480,1570.87,478.80
2,-72.76095,43.61499,1562.30,476.19
3,-72.76083,43.61520,1547.90,471.80
4,-72.76077,43.61524,1543.64,470.50
5,-72.76068,43.61527,1534.09,467.59
6,-72.76059,43.61525,1523.82,464.46
7,-72.76053,43.61519,1517.32,462.48
8,-72.76047,43.61507,1511.94,460.84
9,-72.76037,43.61490,1506.82,459.28
10,-72.76020,43.61479,1498.75,456.82
11,-72.76007,43.61477,1482.19,451.77
12,-72.75994,43.61484,1465.78,446.77
13,-72.75989,43.61501,1456.46,443.93
14,-72.75982,43.61531,1435.56,437.56
15,-72.75970,43.61561,1418.86,432.47
16,-72.75959,43.61570,1404.82,428.19
17,-72.75945,43.61574,1390.49,423.82
18,-72.75933,43.61574,1378.48,420.16
19,-72.75921,43.61570,1368.11,417.00
20,-72.75900,43.61556,1356.30,413.40
21,-72.75878,43.61540,1329.10,405.11
22,-72.75855,43.61520,1314.63,400.70
23,-72.75835,43.61497,1295.54,394.88
24,-72.75819,43.61474,1280.35,390.25
25,-72.75808,43.61455,1276.02,388.93
26,-72.75803,43.61442,1274.18,388.37
27,-72.75801,43.61427,1272.41,387.83
28,-72.75801,43.61414,1269.16,386.84
29,-72.75800,43.61404,1264.37,385.38
30,-72.75798,43.61390,1258.17,383.49
31,-72.75794,43.61370,1248.00,380.39
32,-72.75781,43.61353,1240.58,378.13
33,-72.75761,43.61335,1237.01,377.04
34,-72.75741,43.61324,1230.97,375.20
35,-72.75717,43.61313,1230.54,375.07
