"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-72.78934,43.59433,2524.57,769.49
2,-72.78927,43.59432,2523.13,769.05
3,-72.78920,43.59431,2521.88,768.67
4,-72.78915,43.59424,2519.32,767.89
5,-72.78908,43.59411,2514.53,766.43
6,-72.78905,43.59395,2510.63,765.24
7,-72.78904,43.59384,2508.60,764.62
8,-72.78897,43.59365,2502.76,762.84
9,-72.78897,43.59349,2497.08,761.11
10,-72.78904,43.59331,2491.54,759.42
11,-72.78909,43.59320,2487.70,758.25
12,-72.78909,43.59313,2486.22,757.80
13,-72.78903,43.59306,2483.76,757.05
14,-72.78886,43.59293,2479.49,755.75
15,-72.78860,43.59283,2473.62,753.96
16,-72.78832,43.59272,2465.06,751.35
17,-72.78811,43.59257,2459.61,749.69
18,-72.78794,43.59244,2455.25,748.36
19,-72.78769,43.59237,2449.08,746.48
20,-72.78724,43.59227,2438.39,743.22
21,-72.78684,43.59223,2429.82,740.61
22,-72.78648,43.59222,2421.03,737.93
23,-72.78611,43.59230,2414.67,735.99
24,-72.78566,43.59242,2404.20,732.80
25,-72.78522,43.59258,2394.72,729.91
26,-72.78483,43.59276,2386.12,727.29
27,-72.78445,43.59301,2375.23,723.97
28,-72.78418,43.59324,2365.91,721.13
29,-72.78387,43.59336,2357.55,718.58
30,-72.78348,43.59351,2350.72,716.50
31,-72.78312,43.59366,2342.78,714.08
32,-72.78291,43.59381,2341.96,713.83
33,-72.78274,43.59411,2335.43,711.84
34,-72.78259,43.59452,2326.44,709.10
35,-72.78244,43.59484,2320.64,707.33
36,-72.78217,43.59530,2301.87,701.61
37,-72.78194,43.59568,2302.30,701.74
38,-72.78159,43.59597,2275.69,693.63
39,-72.78129,43.59624,2262.80,689.70
