"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-72.78111,43.60931,2471.00,753.16
2,-72.78087,43.60916,2462.99,750.72
3,-72.78055,43.60899,2450.53,746.92
4,-72.78019,43.60885,2438.81,743.35
5,-72.77988,43.60864,2429.99,740.66
6,-72.77952,43.60838,2412.53,735.34
7,-72.77926,43.60812,2400.72,731.74
8,-72.77905,43.60780,2385.27,727.03
9,-72.77889,43.60745,2379.10,725.15
10,-72.77888,43.60713,2368.80,722.01
11,-72.77888,43.60682,2350.39,716.40
12,-72.77889,43.60648,2325.03,708.67
13,-72.77896,43.60619,2314.96,705.60
14,-72.77912,43.60589,2294.09,699.24
15,-72.77934,43.60562,2279.46,694.78
16,-72.77962,43.60540,2271.00,692.20
17,-72.78004,43.60520,2257.51,688.09
18,-72.78048,43.60499,2238.35,682.25
19,-72.78092,43.60474,2224.64,678.07
20,-72.78123,43.60457,2207.97,672.99
21,-72.78155,43.60435,2196.72,669.56
22,-72.78168,43.60430,2192.22,668.19
23,-72.78186,43.60424,2189.01,667.21
24,-72.78229,43.60419,2176.38,663.36
25,-72.78262,43.60408,2164.80,659.83
26,-72.78288,43.60393,2158.86,658.02
27,-72.78318,43.60373,2145.14,653.84
28,-72.78340,43.60353,2131.92,649.81
29,-72.78356,43.60327,2116.96,645.25
30,-72.78368,43.60288,2096.10,638.89
31,-72.78377,43.60241,2083.73,635.12
