"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-72.78707,43.61457,2372.57,723.16
2,-72.78678,43.61465,2360.96,719.62
3,-72.78648,43.61469,2350.07,716.30
4,-72.78633,43.61476,2344.49,714.60
5,-72.78621,43.61478,2340.45,713.37
6,-72.78600,43.61472,2336.65,712.21
7,-72.78574,43.61465,2332.61,710.98
8,-72.78546,43.61457,2328.84,709.83
9,-72.78521,43.61456,2325.98,708.96
10,-72.78492,43.61456,2320.41,707.26
11,-72.78468,43.61449,2315.88,705.88
12,-72.78431,43.61424,2311.02,704.40
13,-72.78395,43.61403,2306.79,703.11
14,-72.78369,43.61393,2305.97,702.86
15,-72.78335,43.61388,2290.35,698.10
16,-72.78302,43.61387,2286.91,697.05
17,-72.78266,43.61387,2285.50,696.62
18,-72.78230,43.61379,2279.27,694.72
19,-72.78177,43.61369,2272.57,692.68
20,-72.78130,43.61361,2264.47,690.21
21,-72.78094,43.61350,2259.42,688.67
22,-72.78050,43.61330,2255.28,687.41
23,-72.78013,43.61319,2248.39,685.31
24,-72.77967,43.61297,2239.86,682.71
25,-72.77942,43.61289,2235.99,681.53
26,-72.77916,43.61275,2235.53,681.39
27,-72.77907,43.61268,2239.47,682.59
28,-72.77891,43.61256,2228.44,679.23
29,-72.77866,43.61236,2225.00,678.18
30,-72.77842,43.61218,2220.60,676.84
31,-72.77815,43.61198,2209.02,673.31
32,-72.77791,43.61184,2204.10,671.81
33,-72.77768,43.61173,2198.92,670.23
34,-72.77758,43.61159,2193.90,668.70
35,-72.77747,43.61142,2187.66,666.80
36,-72.77733,43.61128,2183.40,665.50
37,-72.77715,43.61115,2175.43,663.07
