"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-72.79433,43.60197,3253.25,991.59
2,-72.79454,43.60209,3237.60,986.82
3,-72.79467,43.60230,3230.35,984.61
4,-72.79472,43.60257,3204.00,976.58
5,-72.79467,43.60284,3190.09,972.34
6,-72.79443,43.60331,3154.00,961.34
7,-72.79406,43.60369,3116.80,950.00
8,-72.79368,43.60395,3080.81,939.03
9,-72.79345,43.60420,3058.46,932.22
10,-72.79325,43.60443,3036.38,925.49
11,-72.79313,43.60458,3017.91,919.86
12,-72.79284,43.60491,2966.70,904.25
13,-72.79257,43.60528,2912.34,887.68
14,-72.79250,43.60538,2899.48,883.76
15,-72.79237,43.60558,2877.40,877.03
16,-72.79225,43.60573,2864.47,873.09
17,-72.79212,43.60573,2854.46,870.04
18,-72.79188,43.60567,2838.85,865.28
19,-72.79164,43.60559,2819.03,859.24
20,-72.79132,43.60554,2786.65,849.37
21,-72.79096,43.60554,2749.97,838.19
22,-72.79067,43.60554,2718.64,828.64
23,-72.79048,43.60561,2700.49,823.11
24,-72.79020,43.60578,2674.05,815.05
25,-72.78996,43.60598,2655.87,809.51
26,-72.78987,43.60612,2648.79,807.35
27,-72.78986,43.60632,2645.57,806.37
