"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-72.78748,43.60423,2434.19,741.94
2,-72.78742,43.60404,2424.70,739.05
3,-72.78740,43.60393,2423.03,738.54
4,-72.78739,43.60383,2420.77,737.85
5,-72.78735,43.60363,2411.84,735.13
6,-72.78740,43.60340,2403.74,732.66
7,-72.78741,43.60321,2393.11,729.42
8,-72.78736,43.60296,2382.58,726.21
9,-72.78729,43.60269,2377.53,724.67
10,-72.78722,43.60241,2367.29,721.55
11,-72.78711,43.60213,2344.09,714.48
12,-72.78688,43.60183,2308.10,703.51
13,-72.78667,43.60150,2280.28,695.03
14,-72.78643,43.60112,2259.91,688.82
15,-72.78630,43.60088,2250.03,685.81
16,-72.78625,43.60067,2239.60,682.63
17,-72.78619,43.60043,2228.05,679.11
18,-72.78616,43.60028,2222.74,677.49
19,-72.78611,43.60018,2217.39,675.86
20,-72.78603,43.60007,2213.62,674.71
21,-72.78585,43.59997,2208.14,673.04
22,-72.78560,43.59990,2199.57,670.43
23,-72.78537,43.59979,2191.34,667.92
24,-72.78514,43.59970,2185.40,666.11
25,-72.78480,43.59964,2171.59,661.90
