"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-71.89268,44.57769,2561.48,780.74
2,-71.89283,44.57813,2519.85,768.05
3,-71.89300,44.57859,2498.69,761.60
4,-71.89308,44.57881,2488.68,758.55
5,-71.89339,44.57950,2377.03,724.52
6,-71.89374,44.57993,2306.43,703.00
7,-71.89416,44.58019,2250.20,685.86
8,-71.89433,44.58029,2228.28,679.18
9,-71.89474,44.58053,2202.23,671.24
10,-71.89527,44.58105,2145.54,653.96
11,-71.89593,44.58163,2036.29,620.66
12,-71.89649,44.58201,1973.56,601.54
13,-71.89687,44.58241,1937.70,590.61
14,-71.89744,44.58296,1884.97,574.54
15,-71.89803,44.58328,1845.83,562.61
16,-71.89890,44.58376,1794.49,546.96
17,-71.89982,44.58428,1727.56,526.56
18,-71.89986,44.58430,1722.83,525.12
19,-71.90019,44.58441,1700.03,518.17
20,-71.90053,44.58445,1683.37,513.09
21,-71.90076,44.58441,1679.72,511.98
22,-71.90110,44.58426,1678.25,511.53
23,-71.90176,44.58387,1676.28,510.93
