"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-72.81504,43.60531,3929.82,1197.81
2,-72.81498,43.60554,3922.93,1195.71
3,-72.81488,43.60585,3868.96,1179.26
4,-72.81466,43.60610,3829.20,1167.14
5,-72.81444,43.60644,3785.76,1153.90
6,-72.81431,43.60679,3761.02,1146.36
7,-72.81410,43.60711,3741.08,1140.28
8,-72.81387,43.60748,3693.37,1125.74
9,-72.81362,43.60789,3645.41,1111.12
10,-72.81346,43.60826,3586.75,1093.24
11,-72.81328,43.60856,3540.91,1079.27
12,-72.81309,43.60875,3508.50,1069.39
13,-72.81283,43.60894,3478.31,1060.19
14,-72.81263,43.60915,3441.80,1049.06
15,-72.81261,43.60926,3423.82,1043.58
16,-72.81259,43.60937,3400.36,1036.43
17,-72.81257,43.60980,3323.33,1012.95
