"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-71.46807,44.24728,2599.54,792.34
2,-71.46784,44.24737,2578.94,786.06
3,-71.46765,44.24739,2572.38,784.06
4,-71.46751,44.24741,2564.44,781.64
5,-71.46726,44.24743,2547.54,776.49
6,-71.46697,44.24742,2530.58,771.32
7,-71.46665,44.24740,2517.75,767.41
8,-71.46596,44.24741,2473.49,753.92
9,-71.46572,44.24743,2460.63,750.00
10,-71.46545,44.24748,2440.85,743.97
11,-71.46524,44.24756,2426.71,739.66
12,-71.46500,44.24772,2411.02,734.88
13,-71.46480,44.24784,2396.46,730.44
14,-71.46464,44.24792,2388.62,728.05
