"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-72.83423,43.64416,3331.14,1015.33
2,-72.83447,43.64426,3310.20,1008.95
3,-72.83487,43.64443,3277.49,998.98
4,-72.83517,43.64459,3257.45,992.87
5,-72.83546,43.64473,3235.11,986.06
6,-72.83577,43.64485,3217.42,980.67
7,-72.83606,43.64492,3204.66,976.78
8,-72.83636,43.64497,3196.98,974.44
9,-72.83655,43.64500,3194.49,973.68
10,-72.83675,43.64503,3189.73,972.23
11,-72.83721,43.64511,3175.69,967.95
12,-72.83730,43.64512,3173.62,967.32
13,-72.83770,43.64516,3169.42,966.04
14,-72.83808,43.64525,3159.97,963.16
15,-72.83836,43.64530,3148.72,959.73
16,-72.83860,43.64534,3138.22,956.53
17,-72.83888,43.64534,3128.08,953.44
18,-72.83911,43.64532,3123.56,952.06
19,-72.83936,43.64533,3115.39,949.57
20,-72.83979,43.64536,3097.97,944.26
21,-72.83994,43.64536,3091.83,942.39
