ID,Input Lon,Input Lat,Elev(ft),Elev(m)
1,-72.78662,44.5217,2017.75,615.01
2,-72.78682,44.52199,2002,610.21
3,-72.78694,44.52224,1995.51,608.23
4,-72.78689,44.52259,1977.43,602.72
5,-72.78688,44.5231,1949.9,594.33
6,-72.78696,44.52358,1916.04,584.01
7,-72.7871,44.52402,1890.35,576.18
8,-72.78732,44.52436,1875.82,571.75
9,-72.7879,44.52517,1853.31,564.89
10,-72.78818,44.52561,1834.55,559.17
11,-72.78832,44.52582,1818.37,554.24
12,-72.78873,44.52636,1799.44,548.47
13,-72.78923,44.52732,1763.32,537.46
14,-72.78934,44.52761,1742.49,531.11
15,-72.78947,44.52787,1722.08,524.89
16,-72.78966,44.52817,1706.17,520.04
17,-72.78988,44.52843,1696.42,517.07
18,-72.79008,44.52869,1686.15,513.94
19,-72.79012,44.52886,1681.1,512.4
20,-72.7901,44.52909,1674.93,510.52
21,-72.79008,44.52943,1672.7,509.84
22,-72.79007,44.52961,1670.24,509.09
23,-72.79016,44.52978,1668.6,508.59
24,-72.79033,44.52992,1665.09,507.52
25,-72.79054,44.53008,1660.56,506.14
26,-72.79062,44.53021,1656.4,504.87
27,-72.79066,44.53046,1649.41,502.74
28,-72.79066,44.5306,1647.38,502.12
29,-72.79063,44.53075,1645.9,501.67
30,-72.79061,44.53092,1644.85,501.35
31,-72.79062,44.53114,1639.14,499.61
32,-72.79068,44.5313,1638.25,499.34
33,-72.7907,44.5314,1638.32,499.36
34,-72.79079,44.53153,1641.67,500.38
35,-72.79084,44.53164,1640.78,500.11
36,-72.79086,44.53177,1636.42,498.78
37,-72.79082,44.53187,1635.7,498.56
38,-72.7907,44.53196,1632.41,497.56
39,-72.79056,44.53201,1627.66,496.11
40,-72.79041,44.53208,1623.23,494.76
41,-72.79029,44.53215,1621.39,494.2
42,-72.79029,44.53225,1622.7,494.6
43,-72.79041,44.5324,1627.59,496.09
44,-72.79057,44.53265,1632.55,497.6
45,-72.79069,44.53291,1638.94,499.55
46,-72.79069,44.53307,1639.63,499.76
47,-72.79057,44.53317,1633.83,497.99
48,-72.79046,44.53323,1629.76,496.75
49,-72.79034,44.53322,1625.26,495.38
50,-72.79021,44.5332,1619.49,493.62
51,-72.78993,44.53317,1607.02,489.82
52,-72.78987,44.53316,1604.99,489.2
