ID,Input Lon,Input Lat,Elev(ft),Elev(m)
1,-72.81331,44.53471,3406,1038.15
2,-72.8132,44.53433,3364.14,1025.39
3,-72.81307,44.53401,3321.78,1012.48
4,-72.81261,44.53359,3272.15,997.35
5,-72.81196,44.53321,3206.53,977.35
6,-72.8116,44.53308,3171.23,966.59
7,-72.81138,44.53308,3153.81,961.28
8,-72.81121,44.533,3144.72,958.51
9,-72.81082,44.53264,3114.57,949.32
10,-72.81034,44.53231,3075.82,937.51
11,-72.80961,44.53159,3009.55,917.31
12,-72.80944,44.53133,2987.83,910.69
13,-72.80922,44.53114,2970.14,905.3
14,-72.80909,44.53106,2960.89,902.48
15,-72.80893,44.53104,2949.31,898.95
