ID,Input Lon,Input Lat,Elev(ft),Elev(m)
1,-72.78293,44.55055,3302.1,1006.48
2,-72.783,44.55041,3292.78,1003.64
3,-72.78317,44.55017,3278.25,999.21
4,-72.78323,44.54996,3248.92,990.27
5,-72.78321,44.54979,3229.82,984.45
6,-72.78312,44.54961,3200.95,975.65
7,-72.78294,44.54951,3172.93,967.11
8,-72.78288,44.54926,3137.34,956.26
9,-72.78276,44.54903,3112.86,948.8
10,-72.78282,44.54873,3087.7,941.13
11,-72.7829,44.54852,3076.25,937.64
12,-72.78291,44.54836,3069.72,935.65
13,-72.78286,44.54826,3061.15,933.04
14,-72.78266,44.54815,3043.93,927.79
15,-72.78254,44.548,3026.15,922.37
16,-72.78252,44.54789,3013.06,918.38
17,-72.78235,44.54774,3005.22,915.99
18,-72.78211,44.54771,2995.47,913.02
19,-72.78166,44.54764,2965.03,903.74
20,-72.78121,44.54765,2950.49,899.31
21,-72.78103,44.54761,2939.11,895.84
