ID,Input Lon,Input Lat,Elev(ft),Elev(m)
1,-72.79423,44.52718,2049.64,624.73
2,-72.79388,44.52697,2041.7,622.31
3,-72.79361,44.52685,2029.69,618.65
4,-72.79318,44.52668,2015.26,614.25
5,-72.79275,44.52654,1997.38,608.8
6,-72.79232,44.52638,1991.01,606.86
7,-72.79208,44.52626,1984.97,605.02
8,-72.79191,44.52619,1975.16,602.03
9,-72.79151,44.52602,1961.38,597.83
10,-72.79113,44.52592,1954.23,595.65
11,-72.79055,44.5258,1927.79,587.59
12,-72.79017,44.52573,1922.28,585.91
13,-72.78995,44.52565,1923.52,586.29
14,-72.78979,44.52556,1926.57,587.22
15,-72.7896,44.52552,1911.32,582.57
16,-72.78921,44.52545,1885.07,574.57
17,-72.7888,44.52538,1878.51,572.57
18,-72.78849,44.52535,1871.98,570.58
19,-72.78814,44.52528,1855.22,565.47
20,-72.78778,44.52521,1850.33,563.98
21,-72.78744,44.52508,1842.36,561.55
22,-72.7871,44.5249,1837.07,559.94
23,-72.78686,44.52475,1838.71,560.44
24,-72.78653,44.5246,1827.82,557.12
25,-72.78612,44.52445,1820.9,555.01
26,-72.78575,44.52433,1809.25,551.46
27,-72.78545,44.52421,1800.95,548.93
28,-72.78506,44.52405,1795.34,547.22
29,-72.78475,44.52393,1794.32,546.91
30,-72.78441,44.52376,1788.45,545.12
31,-72.78413,44.52367,1776.9,541.6
32,-72.78369,44.52352,1779.2,542.3
33,-72.78349,44.52348,1775.13,541.06
34,-72.78333,44.52352,1770.08,539.52
35,-72.78324,44.52358,1763.45,537.5
