ID,Input Lon,Input Lat,Elev(ft),Elev(m)
1,-72.78254,44.54946,3139.6,956.95
2,-72.78234,44.5492,3098.56,944.44
3,-72.78214,44.54891,3060.4,932.81
4,-72.78197,44.54865,3033.86,924.72
5,-72.78159,44.54817,2992.91,912.24
6,-72.78137,44.54784,2970.51,905.41
7,-72.78103,44.54761,2939.11,895.84
8,-72.78071,44.54731,2903.15,884.88
9,-72.7807,44.54698,2890.55,881.04
10,-72.78057,44.54658,2877.85,877.17
11,-72.78042,44.54611,2830.45,862.72
12,-72.78036,44.5458,2790.32,850.49
13,-72.78054,44.54548,2755.97,840.02
14,-72.78055,44.54522,2718.86,828.71
15,-72.78039,44.54487,2671.13,814.16
16,-72.78029,44.54456,2623.33,799.59
17,-72.78015,44.54415,2580.94,786.67
