ID,Input Lon,Input Lat,Elev(ft),Elev(m)
1,-72.77993,44.55123,3159.19,962.92
2,-72.77997,44.55104,3153.41,961.16
3,-72.77991,44.55077,3135.24,955.62
4,-72.77978,44.55044,3081.23,939.16
5,-72.77973,44.55021,3058.24,932.15
6,-72.77979,44.55006,3042.29,927.29
7,-72.78,44.54985,3021.13,920.84
8,-72.78009,44.54979,3014.27,918.75
9,-72.78014,44.54973,3008.04,916.85
10,-72.78015,44.54964,3000.69,914.61
11,-72.78007,44.54953,2991.44,911.79
12,-72.77982,44.54942,2975.72,907
13,-72.77951,44.5493,2944.23,897.4
14,-72.7793,44.54913,2912.2,887.64
15,-72.77924,44.54903,2901.05,884.24
16,-72.77923,44.5487,2879.36,877.63
17,-72.77925,44.5484,2854.72,870.12
18,-72.77934,44.54805,2824.84,861.01
19,-72.77939,44.5479,2803.18,854.41
20,-72.77936,44.5478,2795.24,851.99
21,-72.77927,44.54774,2788.06,849.8
22,-72.77911,44.5477,2777.72,846.65
23,-72.77898,44.54768,2765.35,842.88
24,-72.77893,44.54761,2757.28,840.42
25,-72.77892,44.54755,2748.59,837.77
26,-72.77898,44.54736,2726.02,830.89
27,-72.77902,44.54723,2714.3,827.32
28,-72.77894,44.54709,2713.52,827.08
29,-72.77884,44.54693,2688.09,819.33
30,-72.77876,44.54683,2679.3,816.65
