ID,Input Lon,Input Lat,Elev(ft),Elev(m)
1,-72.78293,44.5418,2413.52,735.64
2,-72.78314,44.54187,2411.06,734.89
3,-72.78351,44.54199,2395.64,730.19
4,-72.78392,44.54206,2383.01,726.34
5,-72.78425,44.54195,2369.52,722.23
6,-72.78437,44.54176,2360.4,719.45
7,-72.7844,44.54143,2347.47,715.51
8,-72.78435,44.54114,2334.71,711.62
9,-72.78423,44.54091,2326.8,709.21
10,-72.78378,44.54046,2283.69,696.07
11,-72.78322,44.54006,2247.31,684.98
12,-72.78247,44.53959,2219.69,676.56
13,-72.78227,44.53946,2214.34,674.93
