ID,Input Lon,Input Lat,Elev(ft),Elev(m)
1,-72.80932,44.53858,3274.93,998.2
2,-72.80899,44.53847,3258.5,993.19
3,-72.80871,44.53817,3237.3,986.73
4,-72.80847,44.53788,3210.7,978.62
5,-72.8083,44.5377,3169.65,966.11
6,-72.80812,44.53766,3148.92,959.79
7,-72.80771,44.53767,3104,946.1
8,-72.80734,44.53771,3073.65,936.85
9,-72.80712,44.53773,3063.09,933.63
10,-72.80672,44.5377,3046.69,928.63
11,-72.80632,44.53758,3039.3,926.38
12,-72.80605,44.53739,3024.8,921.96
13,-72.80581,44.53709,2989.8,911.29
14,-72.80549,44.53686,2948.92,898.83
15,-72.80523,44.53674,2922.87,890.89
16,-72.80492,44.53672,2889.37,880.68
17,-72.80433,44.53675,2833.96,863.79
18,-72.80388,44.53686,2806.07,855.29
19,-72.8036,44.53687,2784.78,848.8
20,-72.80325,44.53681,2747.41,837.41
21,-72.80293,44.53668,2700.72,823.18
22,-72.80269,44.53646,2652.69,808.54
23,-72.80233,44.53614,2601.15,792.83
24,-72.80199,44.53585,2561.91,780.87
25,-72.80181,44.53579,2543.96,775.4
26,-72.80157,44.5358,2520.93,768.38
27,-72.8012,44.53591,2469.55,752.72
28,-72.8008,44.53601,2413.65,735.68
29,-72.80035,44.53602,2358.43,718.85
30,-72.79944,44.53604,2265.72,690.59
31,-72.79889,44.53594,2208.27,673.08
32,-72.79847,44.53575,2167.26,660.58
33,-72.79814,44.53555,2136.29,651.14
34,-72.79795,44.53537,2115.88,644.92
35,-72.79787,44.53522,2105.38,641.72
36,-72.79766,44.53506,2094.49,638.4
37,-72.79722,44.53485,2072.15,631.59
