ID,Input Lon,Input Lat,Elev(ft),Elev(m)
1,-72.78108,44.54211,2372.05,723
2,-72.78096,44.54196,2358.73,718.94
3,-72.78059,44.5419,2333.89,711.37
4,-72.78011,44.54177,2315.29,705.7
5,-72.77991,44.5416,2298.06,700.45
6,-72.77973,44.54145,2279.53,694.8
7,-72.77958,44.54138,2271.42,692.33
8,-72.77977,44.54082,2236.65,681.73
9,-72.77979,44.54045,2203.77,671.71
10,-72.77967,44.54037,2187.76,666.83
11,-72.77925,44.54012,2135.5,650.9
12,-72.77881,44.53991,2090.45,637.17
13,-72.77869,44.53963,2061.15,628.24
14,-72.77844,44.539,1994.06,607.79
15,-72.77819,44.53869,1969.65,600.35
16,-72.77813,44.53861,1961.12,597.75
17,-72.77779,44.53819,1928.71,587.87
18,-72.77764,44.53768,1891.93,576.66
19,-72.77749,44.53744,1873.03,570.9
20,-72.77738,44.53724,1866.54,568.92
21,-72.77682,44.5368,1841.01,561.14
22,-72.77666,44.53667,1832.61,558.58
23,-72.77622,44.5363,1797.87,547.99
24,-72.77577,44.53575,1756.2,535.29
25,-72.77565,44.53561,1751.38,533.82
