ID,Input Lon,Input Lat,Elev(ft),Elev(m)
1,-72.78072,44.53639,1983.89,604.69
2,-72.78136,44.53636,1968.93,600.13
3,-72.7815,44.53633,1968.24,599.92
4,-72.78155,44.53624,1962.4,598.14
5,-72.78152,44.53617,1958.6,596.98
6,-72.78125,44.53587,1937.96,590.69
7,-72.78097,44.53551,1930.25,588.34
8,-72.7808,44.53545,1922.74,586.05
9,-72.78028,44.53545,1898.26,578.59
10,-72.77951,44.53549,1865.65,568.65
11,-72.77917,44.53549,1850.52,564.04
12,-72.77908,44.53549,1846.95,562.95
13,-72.77867,44.53549,1834.61,559.19
14,-72.77803,44.53529,1808.73,551.3
