ID,Input Lon,Input Lat,Elev(ft),Elev(m)
1,-72.77486,44.54094,2034.78,620.2
2,-72.77492,44.54068,2012.73,613.48
3,-72.77492,44.54033,1997.7,608.9
4,-72.77486,44.54007,1991.04,606.87
5,-72.77488,44.5397,1966.86,599.5
6,-72.77497,44.53943,1947.11,593.48
7,-72.77522,44.53918,1930.48,588.41
8,-72.77555,44.53894,1903.54,580.2
9,-72.77567,44.5387,1873.29,570.98
10,-72.77586,44.5382,1842.88,561.71
11,-72.7758,44.53778,1831.14,558.13
12,-72.77565,44.53724,1808.63,551.27
13,-72.77557,44.53683,1789.07,545.31
14,-72.77561,44.53646,1774.9,540.99
15,-72.77577,44.53575,1756.2,535.29
