ID,Input Lon,Input Lat,Elev(ft),Elev(m)
1,-72.77594,44.53203,1673.13,509.97
2,-72.77582,44.53192,1668.64,508.6
3,-72.77583,44.53174,1662.11,506.61
4,-72.77595,44.53158,1656.53,504.91
5,-72.77613,44.53145,1650.43,503.05
6,-72.77635,44.53136,1642.39,500.6
7,-72.77658,44.53128,1635.63,498.54
8,-72.777,44.53125,1625.26,495.38
9,-72.77755,44.53124,1611.52,491.19
10,-72.77798,44.53122,1599.38,487.49
11,-72.77834,44.53125,1589.3,484.42
12,-72.77878,44.53138,1576.77,480.6
13,-72.77902,44.53141,1571.69,479.05
14,-72.77931,44.53138,1563.88,476.67
15,-72.77948,44.53132,1559.48,475.33
