ID,Input Lon,Input Lat,Elev(ft),Elev(m)
1,-72.80074,44.5332,2386.25,727.33
2,-72.79982,44.53293,2297.54,700.29
3,-72.79873,44.5327,2203.05,671.49
4,-72.79804,44.53272,2157.84,657.71
5,-72.7975,44.5328,2109.32,642.92
6,-72.79714,44.53284,2084.35,635.31
7,-72.79685,44.53272,2056.89,626.94
8,-72.79629,44.53239,1984.42,604.85
9,-72.79596,44.53222,1949.02,594.06
10,-72.79525,44.53199,1884.51,574.4
11,-72.7946,44.53186,1843.31,561.84
12,-72.79405,44.53178,1806.96,550.76
13,-72.79317,44.5317,1761.65,536.95
14,-72.79217,44.53158,1709.45,521.04
15,-72.79154,44.53161,1674.48,510.38
16,-72.7911,44.5316,1652.49,503.68
