ID,Input Lon,Input Lat,Elev(ft),Elev(m)
1,-72.8138,44.53747,3636.22,1108.32
2,-72.8141,44.53696,3620.96,1103.67
3,-72.81416,44.53658,3611.48,1100.78
4,-72.81414,44.5362,3587.7,1093.53
5,-72.81414,44.53587,3579.95,1091.17
6,-72.81414,44.53549,3555.09,1083.59
7,-72.81416,44.53507,3512.37,1070.57
8,-72.814,44.53462,3452.2,1052.23
9,-72.81368,44.5346,3429.2,1045.22
10,-72.81331,44.53471,3406,1038.15
11,-72.81305,44.53489,3397.08,1035.43
12,-72.81283,44.53523,3369.46,1027.01
13,-72.81251,44.53558,3352.56,1021.86
14,-72.8122,44.5358,3323.95,1013.14
15,-72.81208,44.53587,3311.52,1009.35
16,-72.81163,44.5361,3274.57,998.09
17,-72.81123,44.53633,3259.68,993.55
18,-72.81074,44.53639,3224.25,982.75
