ID,Input Lon,Input Lat,Elev(ft),Elev(m)
1,-72.8011,44.52771,2614.5,796.9
2,-72.80095,44.52786,2594.62,790.84
3,-72.80068,44.528,2557.64,779.57
4,-72.80039,44.52806,2518.47,767.63
5,-72.80001,44.52811,2471.39,753.28
6,-72.79971,44.52829,2429.07,740.38
7,-72.79944,44.52848,2374.28,723.68
8,-72.79928,44.52868,2324.18,708.41
9,-72.79904,44.52887,2276.64,693.92
10,-72.79877,44.52896,2247.87,685.15
11,-72.79851,44.52898,2224.28,677.96
12,-72.79832,44.52895,2213.91,674.8
13,-72.79799,44.52882,2200.92,670.84
14,-72.79779,44.52869,2196.29,669.43
