ID,Input Lon,Input Lat,Elev(ft),Elev(m)
1,-72.80089,44.52136,3144.49,958.44
2,-72.80066,44.52122,3122.41,951.71
3,-72.80026,44.52089,3081.3,939.18
4,-72.80007,44.52065,3049.15,929.38
5,-72.79986,44.52049,3026.41,922.45
6,-72.79948,44.52027,2993.21,912.33
7,-72.79906,44.52011,2951.41,899.59
8,-72.79886,44.52,2929.1,892.79
9,-72.79863,44.51959,2897.97,883.3
10,-72.79855,44.51955,2893.96,882.08
11,-72.79812,44.51941,2876.94,876.89
12,-72.79753,44.51951,2837.96,865.01
13,-72.79683,44.51971,2774.15,845.56
14,-72.79623,44.51976,2736.15,833.98
15,-72.79556,44.51974,2693.18,820.88
16,-72.79541,44.51975,2683.83,818.03
17,-72.79501,44.51952,2656.86,809.81
18,-72.79469,44.51935,2641.96,805.27
19,-72.79426,44.51925,2605.58,794.18
20,-72.79384,44.51929,2580.22,786.45
21,-72.79343,44.51937,2553.15,778.2
22,-72.79335,44.51942,2544.98,775.71
23,-72.79322,44.51951,2532.81,772
24,-72.79291,44.51972,2504.49,763.37
25,-72.79281,44.51979,2498.03,761.4
