ID,Input Lon,Input Lat,Elev(ft),Elev(m)
1,-72.79027,44.51643,2314.01,705.31
2,-72.79018,44.51652,2312.4,704.82
3,-72.78998,44.51675,2304.4,702.38
4,-72.78989,44.51689,2299.05,700.75
5,-72.78983,44.51699,2295.37,699.63
6,-72.78977,44.5171,2289.37,697.8
7,-72.78973,44.51719,2282.38,695.67
8,-72.78968,44.51727,2276.9,694
9,-72.78961,44.51732,2273.06,692.83
10,-72.78949,44.51734,2268.44,691.42
11,-72.78931,44.51733,2262.04,689.47
12,-72.78918,44.51728,2257.94,688.22
13,-72.78907,44.51716,2250.49,685.95
14,-72.78897,44.51702,2239.24,682.52
15,-72.78889,44.51693,2232.61,680.5
16,-72.78878,44.51681,2224.21,677.94
17,-72.78868,44.5167,2216.04,675.45
18,-72.78857,44.51665,2210.43,673.74
19,-72.78843,44.51663,2204.4,671.9
20,-72.78828,44.51666,2197.31,669.74
21,-72.78815,44.51673,2191.21,667.88
22,-72.78804,44.5168,2185.89,666.26
23,-72.78788,44.51696,2177.92,663.83
24,-72.78772,44.51712,2167.68,660.71
25,-72.7876,44.51723,2157.91,657.73
26,-72.78747,44.51738,2147.51,654.56
27,-72.78734,44.51754,2137.27,651.44
28,-72.78721,44.51767,2128.54,648.78
29,-72.78714,44.5177,2125.59,647.88
30,-72.78706,44.51769,2123.33,647.19
31,-72.78698,44.51765,2120.6,646.36
32,-72.78688,44.51754,2116.14,645
33,-72.78684,44.51738,2111.15,643.48
34,-72.78681,44.51726,2105.51,641.76
35,-72.78678,44.51712,2098.13,639.51
36,-72.78675,44.51702,2093.14,637.99
37,-72.78671,44.51694,2088.81,636.67
38,-72.78664,44.51685,2084.02,635.21
39,-72.78658,44.51678,2081,634.29
40,-72.78651,44.5167,2077.56,633.24
41,-72.78641,44.51662,2072.05,631.56
42,-72.78629,44.51655,2066.04,629.73
43,-72.7862,44.51648,2062.57,628.67
44,-72.78611,44.51639,2059.88,627.85
45,-72.78605,44.5163,2056.92,626.95
46,-72.78598,44.5162,2052.49,625.6
47,-72.78593,44.5161,2049.02,624.54
48,-72.78589,44.51601,2046.19,623.68
49,-72.78584,44.5159,2041.9,622.37
50,-72.78577,44.51569,2033.63,619.85
51,-72.78573,44.51559,2029.95,618.73
52,-72.78568,44.51551,2027.03,617.84
53,-72.78559,44.51546,2023.29,616.7
54,-72.78546,44.51547,2018.77,615.32
55,-72.78535,44.51554,2015.09,614.2
56,-72.78526,44.5157,2010.83,612.9
57,-72.78517,44.51588,2006.3,611.52
58,-72.785,44.51613,1997.34,608.79
59,-72.78488,44.51629,1990.26,606.63
60,-72.78476,44.51657,1979.72,603.42
61,-72.78469,44.51682,1970.67,600.66
62,-72.78465,44.51696,1965.65,599.13
63,-72.78459,44.51708,1960.76,597.64
64,-72.78451,44.51713,1956.86,596.45
65,-72.78437,44.51714,1951.44,594.8
66,-72.78413,44.51703,1942.45,592.06
67,-72.78384,44.51684,1928.05,587.67
68,-72.78365,44.51671,1918.5,584.76
69,-72.78334,44.51653,1904,580.34
70,-72.78306,44.51638,1892.95,576.97
71,-72.78274,44.51627,1882.35,573.74
72,-72.78239,44.51616,1871.06,570.3
73,-72.78214,44.51613,1862.86,567.8
74,-72.78193,44.51619,1857.51,566.17
75,-72.7817,44.51628,1849.11,563.61
76,-72.78155,44.51634,1842.32,561.54
77,-72.78141,44.51639,1836.61,559.8
78,-72.78113,44.51641,1828.15,557.22
79,-72.78086,44.5164,1822.54,555.51
80,-72.78061,44.51631,1817.65,554.02
81,-72.78026,44.51616,1810.2,551.75
82,-72.77994,44.51603,1805.74,550.39
83,-72.77971,44.51592,1798.16,548.08
84,-72.77935,44.51571,1781.23,542.92
85,-72.77915,44.51554,1769.32,539.29
86,-72.77886,44.5154,1755.84,535.18
87,-72.77862,44.51535,1746.56,532.35
88,-72.77824,44.51529,1730.12,527.34
89,-72.77799,44.51519,1719.42,524.08
90,-72.77769,44.51505,1707.15,520.34
91,-72.77747,44.51496,1700.98,518.46
92,-72.77721,44.51487,1693.57,516.2
93,-72.77695,44.51479,1686.68,514.1
94,-72.77674,44.51472,1680.74,512.29
95,-72.77657,44.51468,1675.3,510.63
96,-72.77646,44.51457,1669.59,508.89
97,-72.77632,44.51442,1663.52,507.04
98,-72.7762,44.51424,1654.17,504.19
99,-72.77603,44.51412,1644.42,501.22
100,-72.77572,44.51398,1633.76,497.97
101,-72.77563,44.51392,1629.99,496.82
102,-72.77556,44.51376,1622.28,494.47
103,-72.77553,44.51355,1614.37,492.06
104,-72.7755,44.51336,1609.35,490.53
105,-72.77546,44.51313,1597.74,486.99
106,-72.77536,44.51295,1592.68,485.45
107,-72.77526,44.51282,1591.93,485.22
108,-72.77507,44.51268,1586.19,483.47
109,-72.77487,44.51257,1578.02,480.98
110,-72.77449,44.51245,1573.39,479.57
111,-72.77415,44.51236,1560.4,475.61
112,-72.77387,44.51233,1554.56,473.83
113,-72.77341,44.51229,1546.59,471.4
114,-72.77293,44.51218,1538.52,468.94
115,-72.77258,44.51201,1532.41,467.08
116,-72.77186,44.51163,1515.49,461.92
117,-72.77153,44.51142,1505.77,458.96
118,-72.77144,44.51132,1502.62,458
119,-72.77136,44.5111,1497.54,456.45
120,-72.77133,44.51094,1492.88,455.03
121,-72.77129,44.51074,1485.56,452.8
122,-72.77121,44.51049,1472.97,448.96
123,-72.77107,44.51032,1461.09,445.34
124,-72.77091,44.51026,1454.1,443.21
125,-72.77065,44.51022,1443.21,439.89
126,-72.77035,44.51023,1429.36,435.67
127,-72.76975,44.51037,1400.33,426.82
128,-72.76917,44.51044,1372.87,418.45
129,-72.76872,44.51044,1356.36,413.42
130,-72.76796,44.51045,1331.63,405.88
131,-72.76748,44.5105,1316.83,401.37
132,-72.76695,44.51058,1300.23,396.31
133,-72.76656,44.51063,1294.49,394.56
134,-72.76629,44.51063,1291.9,393.77
135,-72.76612,44.51061,1291.08,393.52
