ID,Input Lon,Input Lat,Elev(ft),Elev(m)
1,-72.80279,44.52324,3323.13,1012.89
2,-72.80238,44.5231,3319.16,1011.68
3,-72.80225,44.52301,3320.05,1011.95
4,-72.80215,44.5229,3317.16,1011.07
5,-72.80207,44.52284,3313.45,1009.94
6,-72.80193,44.52279,3309.71,1008.8
7,-72.80182,44.52278,3308.37,1008.39
8,-72.80166,44.52278,3304.49,1007.21
9,-72.80152,44.5228,3298.13,1005.27
10,-72.80147,44.52279,3293.86,1003.97
11,-72.80136,44.52273,3287.2,1001.94
12,-72.80132,44.52267,3285.76,1001.5
13,-72.80131,44.52255,3278.05,999.15
14,-72.80131,44.52243,3269.98,996.69
15,-72.80132,44.52233,3261.12,993.99
16,-72.80137,44.52226,3255.77,992.36
17,-72.80143,44.52219,3249.93,990.58
18,-72.80149,44.52207,3239.86,987.51
