ID,Input Lon,Input Lat,Elev(ft),Elev(m)
1,-72.80063,44.52449,2943.08,897.05
2,-72.79997,44.52465,2868.44,874.3
3,-72.799,44.52501,2740.35,835.26
4,-72.79783,44.52539,2604.56,793.87
5,-72.79719,44.52548,2541.54,774.66
6,-72.79572,44.52566,2365.12,720.89
7,-72.79524,44.52573,2306.2,702.93
8,-72.79486,44.52589,2258.99,688.54
9,-72.79467,44.52593,2236.12,681.57
10,-72.79439,44.52591,2216.83,675.69
11,-72.79393,44.52581,2199.28,670.34
12,-72.7938,44.52582,2194.32,668.83
13,-72.79362,44.52588,2175.03,662.95
14,-72.7931,44.52607,2092.32,637.74
15,-72.79232,44.52622,2005.81,611.37
16,-72.79208,44.52626,1984.97,605.02
