ID,Input Lon,Input Lat,Elev(ft),Elev(m)
1,-72.78662,44.52171,2016.63,614.67
2,-72.78651,44.5218,2003.67,610.72
3,-72.78589,44.52197,1959.61,597.29
4,-72.78502,44.52216,1909.68,582.07
5,-72.78422,44.52233,1865.49,568.6
6,-72.78371,44.52259,1834.74,559.23
7,-72.78335,44.523,1796.42,547.55
8,-72.78322,44.52346,1771.1,539.83
9,-72.78324,44.52358,1763.45,537.5
10,-72.78327,44.52392,1741.17,530.71
11,-72.78326,44.52423,1720.64,524.45
12,-72.78315,44.5246,1710.86,521.47
13,-72.78294,44.52482,1694.09,516.36
14,-72.7827,44.52516,1668.18,508.46
15,-72.78262,44.52543,1647.24,502.08
16,-72.7826,44.52589,1621.62,494.27
17,-72.78263,44.52615,1608.6,490.3
18,-72.78267,44.52665,1582.78,482.43
19,-72.78294,44.52708,1562.11,476.13
20,-72.78325,44.52742,1549.77,472.37
21,-72.78342,44.52759,1547.8,471.77
22,-72.78369,44.52803,1540.85,469.65
23,-72.78385,44.52821,1540.03,469.4
