ID,Input Lon,Input Lat,Elev(ft),Elev(m)
1,-72.79001,44.52184,2221.72,677.18
2,-72.78989,44.52172,2214.5,674.98
3,-72.78983,44.52156,2207.91,672.97
4,-72.78973,44.52143,2201.48,671.01
5,-72.78955,44.52135,2196.82,669.59
6,-72.78928,44.52132,2186.91,666.57
7,-72.78901,44.52132,2166.34,660.3
8,-72.7887,44.5213,2142.78,653.12
9,-72.78851,44.52121,2124.38,647.51
10,-72.7883,44.52108,2103.61,641.18
11,-72.78808,44.52099,2096.98,639.16
12,-72.78783,44.52099,2090.85,637.29
13,-72.7876,44.52102,2087.76,636.35
