"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-105.43935,36.57443,10315.03,3144.02
2,-105.43909,36.57412,10296.82,3138.47
3,-105.43907,36.57411,10295.41,3138.04
4,-105.43898,36.57408,10292.03,3137.01
5,-105.43886,36.57411,10289.04,3136.10
6,-105.43872,36.57440,10286.38,3135.29
7,-105.43874,36.57441,10285.11,3134.90
8,-105.43877,36.57445,10283.53,3134.42
9,-105.43878,36.57448,10282.38,3134.07
10,-105.43879,36.57453,10280.41,3133.47
11,-105.43880,36.57458,10278.77,3132.97
12,-105.43879,36.57463,10277.66,3132.63
13,-105.43879,36.57468,10276.87,3132.39
14,-105.43880,36.57474,10275.56,3131.99
15,-105.43881,36.57478,10274.64,3131.71
16,-105.43882,36.57484,10273.03,3131.22
17,-105.43884,36.57489,10271.98,3130.90
18,-105.43886,36.57494,10270.31,3130.39
19,-105.43889,36.57498,10267.85,3129.64
20,-105.43892,36.57502,10266.01,3129.08
21,-105.43894,36.57506,10263.98,3128.46
22,-105.43897,36.57511,10262.53,3128.02
23,-105.43899,36.57516,10260.63,3127.44
24,-105.43900,36.57520,10259.15,3126.99
25,-105.43901,36.57525,10256.40,3126.15
26,-105.43902,36.57529,10254.63,3125.61
27,-105.43905,36.57535,10252.07,3124.83
28,-105.43906,36.57540,10250.30,3124.29
29,-105.43906,36.57543,10248.66,3123.79
30,-105.43907,36.57545,10247.93,3123.57
31,-105.43907,36.57549,10246.52,3123.14
32,-105.43909,36.57553,10244.75,3122.60
33,-105.43911,36.57556,10243.50,3122.22
34,-105.43913,36.57560,10241.63,3121.65
35,-105.43915,36.57565,10239.80,3121.09
36,-105.43916,36.57569,10238.29,3120.63
37,-105.43918,36.57574,10236.55,3120.10
38,-105.43919,36.57578,10234.51,3119.48
39,-105.43920,36.57583,10233.14,3119.06
40,-105.43921,36.57585,10232.51,3118.87
41,-105.43923,36.57587,10231.59,3118.59
42,-105.43926,36.57591,10230.61,3118.29
43,-105.43929,36.57594,10229.40,3117.92
44,-105.43933,36.57597,10227.82,3117.44
45,-105.43935,36.57600,10226.97,3117.18
46,-105.43937,36.57603,10226.05,3116.90
47,-105.43940,36.57613,10222.97,3115.96
48,-105.43939,36.57625,10219.00,3114.75
49,-105.43938,36.57640,10212.80,3112.86
