"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-105.44661,36.57385,10920.96,3328.71
2,-105.44649,36.57392,10913.29,3326.37
3,-105.44545,36.57437,10833.86,3302.16
4,-105.44541,36.57440,10831.20,3301.35
5,-105.44479,36.57474,10770.08,3282.72
6,-105.44445,36.57497,10742.09,3274.19
7,-105.44427,36.57510,10732.97,3271.41
8,-105.44408,36.57531,10721.06,3267.78
9,-105.44400,36.57551,10711.52,3264.87
10,-105.44403,36.57651,10665.75,3250.92
11,-105.44402,36.57679,10656.30,3248.04
12,-105.44400,36.57723,10641.21,3243.44
13,-105.44398,36.57750,10631.27,3240.41
14,-105.44400,36.57788,10615.45,3235.59
15,-105.44400,36.57796,10613.19,3234.90
16,-105.44392,36.57805,10610.47,3234.07
17,-105.44383,36.57804,10606.37,3232.82
