"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-105.45705,36.57952,11267.39,3434.30
2,-105.45752,36.57968,11221.88,3420.43
3,-105.45792,36.58003,11202.85,3414.63
4,-105.45788,36.58066,11151.54,3398.99
5,-105.45777,36.58121,11069.09,3373.86
6,-105.45790,36.58170,11024.21,3360.18
7,-105.45812,36.58197,11010.76,3356.08
8,-105.45838,36.58219,10980.74,3346.93
9,-105.45854,36.58298,10885.70,3317.96
10,-105.45892,36.58362,10832.97,3301.89
11,-105.45950,36.58399,10770.67,3282.90
12,-105.45963,36.58462,10684.65,3256.68
13,-105.45985,36.58528,10606.76,3232.94
14,-105.46012,36.58575,10567.98,3221.12
15,-105.46059,36.58670,10464.14,3189.47
16,-105.46060,36.58764,10383.66,3164.94
17,-105.46053,36.58809,10324.38,3146.87
18,-105.46068,36.58849,10289.73,3136.31
19,-105.46137,36.58936,10247.18,3123.34
20,-105.46165,36.59002,10183.63,3103.97
21,-105.46165,36.59065,10096.62,3077.45
22,-105.46148,36.59098,10061.35,3066.70
23,-105.46086,36.59089,10039.76,3060.12
