"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-105.45291,36.58396,11116.31,3388.25
2,-105.45259,36.58398,11118.47,3388.91
3,-105.45241,36.58419,11113.32,3387.34
4,-105.45241,36.58452,11109.19,3386.08
5,-105.45228,36.58530,11085.04,3378.72
6,-105.45255,36.58560,11057.64,3370.37
7,-105.45278,36.58565,11038.68,3364.59
8,-105.45295,36.58583,11015.75,3357.60
9,-105.45313,36.58620,10976.21,3345.55
10,-105.45323,36.58671,10935.11,3333.02
11,-105.45355,36.58737,10861.65,3310.63
12,-105.45409,36.58818,10750.33,3276.70
13,-105.45446,36.58876,10661.58,3249.65
14,-105.45475,36.58937,10593.47,3228.89
15,-105.45497,36.58972,10539.30,3212.38
16,-105.45523,36.59006,10480.74,3194.53
17,-105.45542,36.59029,10441.90,3182.69
18,-105.45567,36.59049,10404.79,3171.38
19,-105.45593,36.59060,10380.97,3164.12
20,-105.45629,36.59085,10341.17,3151.99
21,-105.45650,36.59089,10332.32,3149.29
22,-105.45671,36.59078,10312.07,3143.12
23,-105.45680,36.59050,10300.69,3139.65
24,-105.45681,36.59019,10279.76,3133.27
25,-105.45703,36.58972,10261.06,3127.57
26,-105.45743,36.58927,10240.55,3121.32
