"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-105.45314,36.58044,11509.15,3507.99
2,-105.45180,36.58064,11358.92,3462.20
3,-105.45083,36.58076,11213.52,3417.88
4,-105.44977,36.58100,11079.63,3377.07
5,-105.44919,36.58112,11019.26,3358.67
6,-105.44865,36.58143,10955.41,3339.21
7,-105.44853,36.58153,10935.93,3333.27
8,-105.44807,36.58144,10888.16,3318.71
9,-105.44744,36.58133,10842.39,3304.76
10,-105.44710,36.58110,10830.97,3301.28
11,-105.44697,36.58096,10824.48,3299.30
12,-105.44690,36.58065,10808.86,3294.54
13,-105.44686,36.58024,10783.04,3286.67
14,-105.44676,36.57964,10740.88,3273.82
15,-105.44651,36.57942,10711.25,3264.79
16,-105.44613,36.57941,10677.33,3254.45
17,-105.44586,36.57937,10663.52,3250.24
18,-105.44426,36.57837,10615.06,3235.47
19,-105.44413,36.57828,10613.16,3234.89
