"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-105.44675,36.56775,11359.78,3462.46
2,-105.44666,36.56784,11350.39,3459.60
3,-105.44659,36.56797,11335.60,3455.09
4,-105.44655,36.56805,11327.76,3452.70
5,-105.44648,36.56819,11316.83,3449.37
6,-105.44642,36.56841,11300.49,3444.39
7,-105.44649,36.56851,11295.24,3442.79
8,-105.44663,36.56853,11291.44,3441.63
9,-105.44675,36.56846,11287.40,3440.40
10,-105.44688,36.56835,11284.38,3439.48
11,-105.44713,36.56831,11276.02,3436.93
12,-105.44727,36.56833,11270.87,3435.36
13,-105.44751,36.56836,11260.20,3432.11
14,-105.44764,36.56852,11247.61,3428.27
15,-105.44763,36.56884,11221.82,3420.41
16,-105.44758,36.56898,11210.96,3417.10
17,-105.44751,36.56912,11201.77,3414.30
18,-105.44721,36.56916,11185.47,3409.33
19,-105.44701,36.56924,11172.24,3405.30
20,-105.44687,36.56936,11160.37,3401.68
21,-105.44670,36.56940,11153.51,3399.59
22,-105.44644,36.56936,11140.45,3395.61
23,-105.44617,36.56931,11126.44,3391.34
24,-105.44586,36.56931,11114.04,3387.56
25,-105.44561,36.56927,11103.08,3384.22
26,-105.44554,36.56931,11098.23,3382.74
27,-105.44557,36.56941,11092.13,3380.88
28,-105.44573,36.56956,11085.73,3378.93
29,-105.44604,36.56978,11083.17,3378.15
30,-105.44622,36.56990,11077.03,3376.28
31,-105.44637,36.56994,11073.82,3375.30
32,-105.44688,36.57018,11068.87,3373.79
33,-105.44700,36.57057,11055.97,3369.86
34,-105.44698,36.57073,11050.30,3368.13
35,-105.44697,36.57094,11047.01,3367.13
36,-105.44686,36.57118,11043.31,3366.00
37,-105.44683,36.57125,11040.55,3365.16
38,-105.44684,36.57135,11035.79,3363.71
39,-105.44690,36.57193,11012.89,3356.73
40,-105.44680,36.57241,10996.16,3351.63
41,-105.44684,36.57276,10981.27,3347.09
42,-105.44680,36.57311,10966.83,3342.69
43,-105.44670,36.57361,10935.89,3333.26
44,-105.44661,36.57385,10920.96,3328.71
