"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-105.44234,36.57258,10783.96,3286.95
2,-105.44211,36.57256,10782.94,3286.64
3,-105.44134,36.57251,10746.06,3275.40
4,-105.44080,36.57222,10684.78,3256.72
5,-105.44071,36.57216,10677.69,3254.56
6,-105.44050,36.57200,10659.12,3248.90
7,-105.43957,36.57171,10545.83,3214.37
8,-105.43935,36.57173,10505.25,3202.00
9,-105.43880,36.57188,10396.26,3168.78
10,-105.43859,36.57203,10358.92,3157.40
11,-105.43837,36.57217,10356.20,3156.57
12,-105.43830,36.57265,10344.52,3153.01
13,-105.43843,36.57325,10322.54,3146.31
14,-105.43862,36.57370,10304.59,3140.84
15,-105.43896,36.57417,10291.37,3136.81
16,-105.43935,36.57443,10315.03,3144.02
