"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-107.83535,37.91462,10850.49,3307.23
2,-107.83523,37.91495,10821.72,3298.46
3,-107.83518,37.91532,10760.30,3279.74
4,-107.83516,37.91558,10731.96,3271.10
5,-107.83515,37.91586,10707.81,3263.74
6,-107.83514,37.91611,10671.29,3252.61
7,-107.83521,37.91637,10641.17,3243.43
8,-107.83529,37.91663,10602.79,3231.73
9,-107.83541,37.91692,10569.62,3221.62
10,-107.83555,37.91715,10543.87,3213.77
11,-107.83605,37.91791,10453.97,3186.37
12,-107.83643,37.91839,10398.92,3169.59
