"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-107.82291,37.92127,11244.62,3427.36
2,-107.82277,37.92147,11225.13,3421.42
3,-107.82255,37.92163,11207.35,3416.00
4,-107.82230,37.92183,11181.14,3408.01
5,-107.82216,37.92194,11156.69,3400.56
6,-107.82193,37.92214,11079.04,3376.89
7,-107.82150,37.92248,10963.35,3341.63
8,-107.82107,37.92284,10846.85,3306.12
9,-107.82075,37.92320,10730.22,3270.57
10,-107.82034,37.92359,10618.41,3236.49
11,-107.81983,37.92391,10538.55,3212.15
12,-107.81943,37.92421,10486.19,3196.19
13,-107.81925,37.92446,10450.89,3185.43
